ConceptID;Term;RegNUM;RegAÑO
808251000167108;cloruro de potasio 40 mEq/100 mL solución inyectable (Baxter);F-17820;14
808261000167106;zequivec comprimido recubierto (Medley);F-20668;13
808271000167100;duoval jarabe (Saval);F-9572;16
808281000167103;volunta 80 mg comprimido recubierto (Medley);F-21121;14
808301000167102;volunta 40 mg comprimido recubierto (Medley);F-21120;14
808311000167100;bediatil suspensión oral (Pasteur);F-11624;16
808321000167105;volunta 20 mg comprimido recubierto (Medley);F-21119;14
808331000167107;celulase plus comprimido (Synthon);N-40;16
808341000167104;mexan 15 mg comprimido (Mintlab);F-14255;14
808361000167103;vick tratatos jarabe (Lab Chile);N-497;15
808371000167109;mexilal 7,5 mg comprimido (Sanitas);F-2613;14
808381000167106;volunta 10 mg comprimido recubierto (Medley);F-21118;14
808401000167106;caprimida D cápsula (Recalcine);F-14353;14
808411000167108;nifedipino 20 mg comprimido recubierto de liberación prolongada (Lab Chile);F-12851;18
808421000167103;salofalk ODD supositorio (Biotoscana);F-19542;17
808431000167101;bactroban ungüento nasal (GSK);F-10750;16
808441000167109;ibupirac LC 600 mg cápsula blanda (Chemopharma);F-21000;14
808451000167107;fuzeon polvo liofilizado para solución inyectable con solvente (Roche);F-13614;14
808461000167105;duoval solución oral para gotas (Saval);F-9573;16
808471000167104;oradiet 120 mg cápsula (Sanitas);F-16963;18
808481000167102;flufenazina decanoato 250 mg/10 mL solución inyectable (Biosano);F-7653;16
808491000167100;celulase ungüento tópico (Synthon);N-42;16
808501000167105;turbogesic crema (Lab Chile);F-8513;16
808511000167107;ectien XR 75 mg cápsula con microgránulos recubiertos de liberación prolongada (Lab Chile);F-20043;18
808521000167102;painpac gel tópico (Prater);F-21646;15
808541000167108;zoltum polvo liofilizado para solución inyectable (Tecnofarma);F-19453;17
808551000167106;enalten 5 mg comprimido (Saval);F-5454;15
808561000167109;profenid 100 mg comprimido con recubrimiento entérico (Sanofi Aventis);F-9748;16
808571000167103;metoclopramida clorhidrato 10 mg comprimido (Lab Chile);F-3988;15
808591000167104;esanterm forte suspensión oral (Esan);F-16672;18
808601000167109;diprotan 60 mg cápsula con gránulos con recubrimiento entérico (Ascend);F-22123;15
808611000167106;ectien XR 150 mg cápsula con microgránulos recubiertos de liberación prolongada (Lab Chile);F-20044;18
808631000167104;todexona suspensión oftálmica (S.M.B. Farma);F-10254;16
808641000167107;paracetamol infantil 100 mg/mL solución oral para gotas (Andrómaco);F-11886;17
808651000167105;sintoftona ungüento oftálmico (S.M.B. Farma);F-10253;16
808661000167108;elonva 150 mcg/0,5 mL solución inyectable (MSD);B-2163;15
808671000167102;ectien XR 37,5 mg cápsula con microgránulos recubiertos de liberación prolongada (Lab Chile);F-20042;18
808681000167100;gastrium solución inyectable (Saval);F-5460;15
808691000167103;migtal comprimido recubierto (Saval);F-16299;17
808701000167103;lukanex 5 mg comprimido masticable (Saval);F-18725;16
808711000167101;alertex 100 mg comprimido (Saval);F-15506;16
808721000167106;clarimir F solución oftálmica (Andrómaco);F-6599;15
808731000167108;amitriptilina 25 mg comprimido recubierto (Lab Chile);F-1347;13
808751000167102;lukanex 10 mg comprimido recubierto (Saval);F-16852;18
808761000167104;xarelto 2,5 mg comprimido recubierto (Bayer);F-20765;14
808771000167105;ambroxol clorhidrato 30 mg/5 mL jarabe (Andrómaco);F-6510;15
808781000167107;adoplan comprimido recubierto (Esan);F-9293;16
808791000167109;lukanex 4 mg granulado para solución oral (Saval);F-18806;16
808801000167108;espercil 500 mg comprimido recubierto (Grünenthal);F-4458;15
808811000167105;lyvelsa comprimido recubierto (Bayer);F-21565;14
808821000167100;lomex IV polvo liofilizado para solución inyectable con solvente (Saval);F-3384;15
808831000167103;burten comprimido (Lab Chile);F-15740;16
808841000167106;esantuss infantil jarabe (Esan);F-15717;16
808851000167109;pyriped forte comprimido recubierto (Mintlab);F-10176;16
808861000167107;vick freshmel tos comprimido de disolución bucal (Lab Chile);F-5484;15
808871000167101;mentholatum ungüento tópico (Hofmann);F-15904;17
808881000167104;relvar ellipta 184 / 22 polvo para inhalación (GSK);F-20749;14
808891000167102;neohysticlar jarabe (Mintlab);F-14380;14
808911000167104;extosen jarabe (Sanitas);F-8950;16
808921000167109;lukanex 4 mg comprimido masticable (Saval);F-18724;16
808931000167106;relvar ellipta 92 / 22 polvo para inhalación (GSK);F-20748;14
808941000167103;losartán potásico 50 mg comprimido recubierto (Synthon);F-15499;16
808951000167100;zomel 20 mg cápsula con microgránulos con recubrimiento entérico (Saval);F-14045;14
808961000167102;clopidogrel 300 mg comprimido recubierto (Ascend);F-21739;15
808971000167108;combigan solución oftálmica (Allergan);F-15423;16
808981000167105;deucotos jarabe (Medipharm);F-20612;13
808991000167107;vick griptotal 24/7 día y noche comprimido recubierto (Lab Chile);F-20069;18
809001000167107;zomel 40 mg cápsula con microgránulos con recubrimiento entérico (Saval);F-14046;14
809011000167109;keppra solución oral (GSK);F-17279;14
809021000167104;tusigen infantil jarabe (Bagó);F-13349;13
809031000167102;clexane 60 mg/0,6 mL solución inyectable (Sanofi Aventis);B-1350;16
809041000167105;celulase - neomicina ungüento tópico (Synthon);B-1145;16
809051000167108;entocort cápsula con gránulos con recubrimiento entérico de liberación prolongada (Astrazeneca);F-1992;14
809061000167106;tareg 80 mg comprimido recubierto (Novartis);F-21579;14
809071000167100;cortiprex 20 mg/5 mL suspensión oral (Lab Chile);F-7169;15
809091000167101;codetol pm adulto jarabe (Lab Chile);F-16539;17
809101000167108;mitoxantrona solución inyectable (Baxter);F-527;18
809111000167105;mexilal 15 mg comprimido (Sanitas);F-2611;14
809121000167100;losartán potásico 100 mg comprimido recubierto (Andrómaco);F-20934;14
809131000167103;eutirox 25 mcg comprimido (Merck);F-20856;14
809141000167106;preclar 250 mg/5 mL polvo para suspensión oral con solvente (Lab Chile);F-12707;17
809151000167109;mentalol ungüento tópico (Farmo Química);F-22325;15
809161000167107;codetol pm infantil jarabe (Lab Chile);F-8379;16
809171000167101;telzir suspensión oral (GSK);F-17573;14
809181000167104;esantuss adulto jarabe (Esan);F-15716;16
809191000167102;nistaglós crema dérmica (Andrómaco);B-958;15
809201000167100;melodol 15 mg comprimido (Raffo);F-21269;14
809211000167103;losartán potásico 100 mg comprimido recubierto (Lab Chile);F-17498;14
809231000167105;betagen solución oftálmica (Allergan);F-6046;15
809241000167102;rinaid jarabe (Medipharm);F-15656;16
809251000167104;afinitor 10 mg comprimido (Novartis);F-17670;14
809261000167101;amoval 500 mg comprimido recubierto (Saval);F-5513;15
809271000167107;metoclopramida clorhidrato 10 mg/2 mL solución inyectable (Sanderson);F-6165;15
809281000167109;furosemida 20 mg/mL solución inyectable (Biosano);F-10110;16
809291000167106;movidol cápsula con gránulos de liberación prolongada (Pasteur);F-18045;15
809301000167105;dulera 200 / 5 aerosol para inhalación (MSD);F-19550;17
809311000167107;despex jarabe (Lab Chile);F-15110;15
809331000167100;vick vaporub ungüento tópico (Lab Chile);F-7121;15
809341000167108;carbotos pediátrico jarabe (Esan);F-14967;15
809351000167106;dulera 100 / 5 aerosol para inhalación (MSD);F-19549;17
809361000167109;clopivitae comprimido recubierto (Galenicum);F-22129;15
809371000167103;melic BD comprimido bucodispersable (Pasteur);F-17189;13
809381000167101;aciclovir 5% crema tópica (OPKO);F-1832;14
809391000167104;epirubicina 50 mg/25 mL solución inyectable (Fresenius Kabi);F-16143;17
809401000167101;fluoxem solución inyectable (Synthon);F-17387;14
809421000167109;carbotos jarabe (Esan);F-9281;16
809431000167106;aciclovir 5% crema tópica (Mintlab);F-9864;16
809441000167103;aciclovir 5% crema tópica (Lab Chile);F-3865;15
809461000167102;bisolvon adulto jarabe (Boehringer I.);F-20818;14
809471000167108;exemastin comprimido recubierto (AC Farma);F-20660;13
809481000167105;pyriped suspensión oral (Mintlab);F-9928;16
809491000167107;despeval jarabe (Saval);F-14003;14
809501000167102;xuzal 5 mg/mL solución oral para gotas (GSK);F-19627;17
809521000167105;tricef polvo para suspensión oral (Merck);F-19720;17
809531000167107;miragran comprimido recubierto (Royal Pharma);F-15287;15
809541000167104;fluyet 75 comprimido recubierto (Pharmavita);F-20812;14
809551000167101;clorfenamina maleato 4 mg comprimido (Mintlab);F-6877;15
809561000167103;anoro ellipta polvo para inhalación (GSK);F-20948;14
809571000167109;coritex solución oral para gotas (Bagó);F-12066;17
809581000167106;levofloxacino 500 mg comprimido recubierto (Lab Chile);F-15283;15
809591000167108;nicotears solución oftálmica (Nicolich);F-5538;15
809601000167103;gaviscon suspensión oral (Reckitt);F-3749;15
809611000167101;aciclovir 400 mg comprimido (Euromed);F-18277;15
809621000167106;phosome B polvo liofilizado para solución inyectable (Indopharma);B-2267;12
809641000167100;nipolen jarabe (Mintlab);F-12167;17
809651000167102;prodasone 10 mg comprimido (Pfizer);F-7187;15
809671000167105;sentis 18,75 mg cápsula (Lab Chile);F-19535;17
809681000167107;humulin R solución inyectable (Eli Lilly);B-1499;16
809691000167109;primidona 250 mg comprimido (Lab Chile);F-1404;18
809701000167109;incruse ellipta polvo para inhalación (GSK);F-21128;14
809711000167106;haloperidol 5 mg/mL solución inyectable (Sanderson);F-6158;15
809721000167101;xémose stick bálsamo labial (Uriage);172C-634;18
809731000167104;predual comprimido (Andrómaco);F-5823;15
809741000167107;torecan solución inyectable (Novartis);F-1110;13
809771000167102;xémose syndet loción limpiadora (Uriage);172C-635;18
809781000167100;nyskin 0,3% gel dérmico (Saval);F-17919;15
809791000167103;sufenta 10 mcg/2 mL solución inyectable (Janssen);F-20906;14
809801000167104;nyskin 0,1% gel dérmico (Saval);F-16681;18
809811000167102;epirubicina 50 mg polvo liofilizado para solución inyectable (LKM);F-21722;15
809821000167107;nyskin crema dérmica (Saval);F-16794;18
809831000167109;pentoxifilina 400 mg comprimido recubierto de liberación prolongada (Mintlab);F-9476;16
809841000167101;linezet solución inyectable (Synthon);F-21018;14
809851000167103;suero glucosado hipertónico 20% solución inyectable (Fresenius Kabi);F-12814;18
809861000167100;distonal comprimido ranurado (Royal Pharma);F-7132;15
809871000167106;refresh tears solución oftálmica (Allergan);F-20910;14
809881000167108;mio-relax 10 mg comprimido recubierto (Euromed);F-19589;17
809891000167105;bioinsugen - R solución inyectable (Biosano);B-1959;16
809911000167108;neo - alledryl jarabe (Prater);F-15537;16
809921000167103;toptear solución oftálmica (Poen);F-13897;14
809931000167101;esamisol compuesto comprimido recubierto (Esan);F-9289;16
809941000167109;hexalectol comprimido recubierto (Synthon);F-21824;15
809951000167107;furosemida 20 mg/2 mL solución inyectable (Biosano);F-7654;16
809971000167104;aciclovir 5% crema tópica (Hospifarma);F-20969;14
809981000167102;zyrtec 10 mg/ml solución oral para gotas (GSK);F-10692;16
809991000167100;promyrtil comprimido recubierto (MSD);F-10553;16
810001000167104;atemperator 400 mg comprimido con recubrimiento entérico (Neuroscience);F-2732;14
810011000167102;ramipres 2,5 mg comprimido ranurado (Pasteur);F-659;13
810021000167107;acetazolamida 250 mg comprimido (Lab Chile);F-983;13
810031000167109;ketoprofeno 200 mg comprimido con recubrimiento entérico de liberación prolongada (Mintlab);F-9898;16
810051000167103;vencontrol 150 mg cápsula con microgránulos recubiertos de liberación prolongada (Medley);F-20178;13
810061000167100;coumadin 5 mg comprimido (B-MS);F-9737;16
810071000167106;soluna comprimido recubierto (Mintlab);F-20132;18
810081000167108;restasis emulsión oftálmica (Allergan);F-13719;14
810101000167103;aromasin gragea (Pfizer);F-7150;15
810121000167106;cefotaxima 1 g polvo para solución inyectable (Biosano);F-18324;15
810141000167100;neuryl 0,5 mg comprimido (Bagó);F-17409;14
810151000167102;ramipres 5 mg comprimido ranurado (Pasteur);F-660;13
810161000167104;betametasona dipropionato 0,05% crema dérmica (Mintlab);F-6865;15
810181000167107;presilam 5 mg comprimido (Pasteur);F-662;18
810191000167109;flutamida 250 mg comprimido recubierto (Gador);F-11383;16
810201000167106;presilam 10 mg comprimido (Pasteur);F-661;18
810211000167108;arnuity ellipta 100 mcg/dosis polvo para inhalación (GSK);F-22191;15
810221000167103;esbriet cápsula (Roche);F-22478;16
810231000167101;flumazenil 0,5 mg/5 mL solución inyectable (Sanderson);F-15337;15
810251000167107;docetaxel 20 mg/0,5 mL solución inyectable concentrada con solvente (Lab Chile);F-18050;15
810261000167105;metamizol sódico dipirona 300 mg comprimido (Valma);F-2645;14
810271000167104;losapres 50 mg comprimido recubierto (Pharma Investi);F-9991;16
810281000167102;uricont TU 10 mg comprimido de liberación prolongada (Synthon);F-20194;13
810291000167100;desogestrel comprimido recubierto (Exeltis);F-22625;16
810301000167101;isodense serum intensivo crema (Uriage);172C-746;13
810321000167109;isodense crema (Uriage);172C-744;13
810341000167103;docetaxel 80 mg/2 mL solución inyectable concentrada con solvente (Lab Chile);F-18049;15
810361000167102;hipolixan 10 mg comprimido recubierto (Pasteur);F-3447;15
810381000167105;betaxolol 0,5% solución oftálmica (Sanitas);F-8873;16
810391000167107;sixacina comprimido recubierto (Synthon);F-15667;16
810401000167105;cotrimoxazol suspensión oral (Sanitas);F-8912;16
810411000167107;kopodex XR comprimido recubierto de liberación prolongada (Drugtech);F-18101;15
810431000167100;amoval 1 g comprimido dispersable (Saval);F-5515;15
810451000167106;furosemida 20 mg/2 mL solución inyectable (Sanderson);F-12580;17
810491000167104;molsicor 10 mg comprimido (Euromed);F-17031;13
810511000167106;prodasone 5 mg comprimido (Pfizer);F-12789;18
810531000167104;sulcran suspensión oral (Andrómaco);F-11434;16
810541000167107;zovirax IV polvo liofilizado para solución inyectable (GSK);F-4131;15
810571000167102;sentis 37,5 mg cápsula (Lab Chile);F-19324;17
810581000167100;humalog kwikpen solución inyectable en lápiz prellenado (Eli Lilly);B-2487;15
810591000167103;fexurix 40 mg comprimido recubierto (Recalcine);F-18693;16
810611000167105;cefadroxilo 250 mg/5 mL polvo para suspensión oral (Andrómaco);F-6517;15
810621000167100;paracetamol infantil 80 mg comprimido masticable (Mintlab);F-898;13
810641000167106;daclin solución inyectable (Lab Chile);F-21235;14
810651000167109;roséliane cc cream SPF 30 crema (Uriage);172C-956;14
810661000167107;profenid 100 mg/2 mL solución inyectable (Sanofi Aventis);F-9747;16
810701000167102;bicarbonato de sodio 1/6 molar solución inyectable (Fresenius Kabi);F-13684;14
810711000167100;ketoprofeno 100 mg/2 mL solución inyectable (Labvitalis);F-21216;14
810721000167105;rismia 1 mg comprimido recubierto (Indopharma);F-22859;16
810731000167107;dermovate pomada tópica (GSK);F-2446;14
810741000167104;acetazolamida 250 mg comprimido (Mintlab);F-4329;15
810751000167101;rismia 3 mg comprimido recubierto (Indopharma);F-22858;16
810761000167103;emolan para aplicar en cicatrices SPF 30 crema (K2 Health&Wellness);137C-168;14
810771000167109;fulvestrant solución inyectable (Euromed);F-22622;16
810801000167107;clarinase jarabe (Bayer);F-6991;15
810811000167109;disven comprimido recubierto (Gynopharm);F-19158;16
810821000167104;azitrom polvo para suspensión oral con solvente (Lab Chile);F-8336;16
810831000167102;tonoflex cápsula blanda (Sanitas);F-2239;14
810841000167105;dalgiet comprimido recubierto (Exeltis);F-21673;15
810851000167108;winasorb flex cápsula blanda (Neumobiotics);F-11080;16
810861000167106;diclofenaco sódico 100 mg cápsula con gránulos recubiertos de liberación prolongada (Mintlab);F-2147;14
810871000167100;cardionase comprimido recubierto (OPKO);F-17455;14
810881000167103;elitiran - GP cápsula con gránulos recubiertos de liberación prolongada (Mintlab);F-1988;14
810891000167101;zavesca 100 mg cápsula dura (Biotoscana);F-18621;16
810901000167100;quetidin XR 300 mg comprimido recubierto de liberación prolongada (Drugtech);F-17625;14
810911000167103;digoxina comprimido (Mintlab);FX-87;18
810921000167108;quetidin XR 400 mg comprimido recubierto de liberación prolongada (Drugtech);F-17626;14
810931000167105;quetidin XR 150 mg comprimido recubierto de liberación prolongada (Drugtech);F-18300;15
810941000167102;losartán potásico 100 mg comprimido recubierto (Chemopharma);F-20493;13
810961000167101;corodin D forte comprimido recubierto (Cardiopharm);F-12588;17
810971000167107;nicergolina 15 mg comprimido recubierto (Lab Chile);F-3993;15
810981000167109;quetidin XR 200 mg comprimido recubierto de liberación prolongada (Drugtech);F-18179;15
810991000167106;losartán potásico 50 mg comprimido recubierto (Chemopharma);F-8741;16
811001000167105;visanne comprimido recubierto (Bayer);F-18933;16
811011000167107;atrovent 0,025% solución para nebulización (Boehringer I.);F-20681;13
811021000167102;geniol infantil comprimido masticable (Mintalb);F-9895;16
811031000167100;losartán potásico 50 mg comprimido recubierto (Ascend);F-22000;15
811041000167108;vencontrol 37,5 mg cápsula con microgránulos recubiertos de liberación prolongada (Medley);F-20216;13
811051000167106;vencontrol 75 mg cápsula con microgránulos recubiertos de liberación prolongada (Medley);F-20218;13
811061000167109;quetidin XR 50 mg comprimido recubierto de liberación prolongada (Drugtech);F-18180;15
811071000167103;gemfibrozilo 600 mg comprimido (Pasteur);F-15121;15
811081000167101;losartán potásico 100 mg comprimido recubierto (Ascend);F-21746;15
811091000167104;gemfibrozilo 900 mg comprimido (Pasteur);F-1898;14
811101000167106;linarol 10 mg comprimido recubierto (Mintlab);F-14847;15
811111000167108;neolarmax solución oral (Andrómaco);F-14618;15
811131000167101;cefotaxima 1 g polvo para solución inyectable (Euromed);F-18467;16
811141000167109;cidoten solución inyectable (MSD);F-20796;14
811151000167107;cetirizina diclorhidrato 10 mg comprimido recubierto (Lab Chile);F-13749;14
811161000167105;osteogen polvo liofilizado para solución inyectable (Libra);F-18841;16
811171000167104;soluna E comprimido (Mintlab);F-20211;13
811191000167100;solu - cortef 500 mg polvo liofilizado para solución inyectable (Pfizer);F-1282;18
811201000167103;zaviana FS 12,5 mg comprimido recubierto de liberación prolongada (Drugtech);F-17746;14
811211000167101;viplan solución oral para gotas (Medipharm);F-12678;17
811231000167108;neoclaritine comprimido recubierto (MSD);F-7110;15
811241000167100;dermovate loción capilar (GSK);F-4110;15
811251000167102;elitos ET jarabe (Andrómaco);F-11261;16
811261000167104;olmetec 40 mg comprimido recubierto (MSD);F-15826;16
811271000167105;nalerona comprimido (Silesia);F-11527;16
811281000167107;azitromicina 500 mg comprimido recubierto (Mintlab);F-14422;14
811291000167109;biolactus polvo liofilizado para suspensión oral (Synthon);B-1143;16
811311000167105;fitomenadiona 10 mg/mL solución inyectable (Biosano);F-3038;15
811321000167100;endoxan gragea (Baxter);F-14350;14
811331000167103;fluorouracilo 1000 mg/20 mL solución inyectable (Ebewe);F-10116;16
811341000167106;emolan protector solar niños SPF 50+ spray (K2 Health&Wellness);137C-180;14
811351000167109;cerazette comprimido recubierto (MSD);F-7501;16
811361000167107;indoxyl gel dérmico (Stiefel);F-19809;18
811371000167101;fluorouracilo 500 mg/10 mL solución inyectable (Ebewe);F-21241;14
811381000167104;hidralazina comprimido recubierto (Mintlab);F-3835;15
811391000167102;emolan mamá post - natal reafirmante crema (K2 Health&Wellness);137C-190;15
811411000167102;zyrtec comprimido recubierto (GSK);F-10690;16
811431000167109;fulvestrant 250 mg/5 mL solución inyectable (LKM);F-21754;15
811451000167103;fluoxetina 20 mg comprimido (Andrómaco);F-14351;14
811461000167100;vadiral 500 mg comprimido recubierto (Mediderm);F-797;13
811481000167108;exelon 5 sistema terapéutico transdérmico (Novartis);F-16304;17
811491000167105;exelon 10 sistema terapéutico transdérmico (Novartis);F-16305;17
811501000167100;ciblex 30 mg comprimido recubierto (Drugtech);F-9773;16
811511000167103;metrans XR 20 mg comprimido recubierto de liberación prolongada (Andrómaco);F-20582;13
811521000167108;ciblex 15 mg comprimido recubierto (Drugtech);F-12348;17
811531000167105;fragmin 10.000 UI/mL solución inyectable en jeringa prellenada (Pfizer);B-1473;16
811541000167102;cronus comprimido recubierto (Tecnofarma);F-12873;18
811551000167104;hipecor comprimido (Merck);F-18719;16
811561000167101;testosterona enantato 250 mg/mL solución inyectable (Ethon);F-18996;16
811581000167109;anacin comprimido recubierto (Wyeth);F-2775;14
811601000167101;bediatil 400 mg comprimido recubierto (Pasteur);F-16898;18
811611000167104;tanston comprimido recubierto (Pfizer);F-17902;15
811621000167109;vitamina E 400 UI cápsula blanda (Sanitas);F-9078;16
811631000167106;torisel solución inyectable concentrada con solvente (Wyeth);F-17001;13
811641000167103;vironida suspensión oral (Lab Chile);F-8517;16
811651000167100;calmosedan comprimido (Recalcine);F-5791;15
811661000167102;butilescopolamina bromuro 20 mg/mL solución inyectable (Sanderson);F-10880;16
811671000167108;vitamina E 1000 UI cápsula blanda (Sanitas);F-2290;14
811681000167105;imipramina clorhidrato 25 mg comprimido recubierto (Sanitas);F-1381;13
811691000167107;vadiral 1 g comprimido recubierto (Mediderm);F-16908;13
811701000167107;colicor comprimido (Medipharm);F-20583;13
811711000167109;uricont TU 15 mg comprimido de liberación prolongada (Synthon);F-20195;13
811721000167104;soluna E - 20 comprimido (Mintlab);F-20210;13
811731000167102;cetraxal plus solución ótica para gotas (Faes Farma);F-20638;13
811741000167105;elvenir 37,5 mg comprimido recubierto (Recalcine);F-18783;16
811751000167108;clotrimin - B crema tópica (Medipharm);F-20924;14
811761000167106;cataflam 25 mg gragea (Novartis);F-19842;18
811771000167100;neupogen 30 MU/mL solución inyectable (Roche);B-2328;16
811781000167103;fragmin 10.000 UI/4 mL solución inyectable (Pfizer);B-1470;16
811791000167101;gentamicina 0,3% solución oftálmica (OPKO);B-2118;13
811801000167102;simponi 50 mg/0,5 mL solución inyectable (Janssen);B-2196;16
811811000167100;fragmin 12.500 UI/0,5 mL solución inyectable (Pfizer);B-2107;14
811821000167105;gentamicina 0,3% solución oftálmica (Lab Chile);B-873;15
811831000167107;flunarizina 10 mg comprimido (Mintlab);F-7294;15
811841000167104;apeplus comprimido recubierto (Mediderm);F-1906;14
811851000167101;ladygex - 20 comprimido (Mintlab);F-20142;18
811871000167109;dezartal 6 mg comprimido (Grünenthal);F-21695;15
811881000167106;neuropron FT 20 mg comprimido bucodispersable (Andrómaco);F-21993;15
811891000167108;izofran 8 mg/4 mL (2 mg/mL) solución inyectable (GSK);F-10672;16
811911000167106;zarzio 0,3 mg/0,5 mL solución inyectable (Complex Therap);B-2302;18
811921000167101;ácido zoledrónico 4 mg/5 mL solución inyectable (Euromed);F-19336;17
811931000167104;abrilar comprimido efervescente (Pharma Investi);N-267;13
811941000167107;eurovir suspensión oral (Saval);F-9794;16
811961000167108;cozaar 50 mg comprimido recubierto (MSD);F-21038;14
811971000167102;eurovir forte suspensión oral (Saval);F-12913;18
811981000167100;proctoran 1% pomada (PBH Faes Farma);F-19600;17
811991000167103;eurax crema tópica (Novartis);F-4341;15
812001000167100;ladygex comprimido (Mintlab);F-20497;13
812021000167108;vimovo comprimido recubierto de liberación modificada (Astrazeneca);F-19149;16
812031000167105;dompesin suspensión oral para gotas (Chemopharma);F-3257;15
812041000167102;paclitaxel 6 mg/mL solución concentrada para perfusión (Lab Chile);F-20225;13
812051000167104;propiltiouracilo 50 mg comprimido (Lab Chile);F-2261;14
812061000167101;amoval 500 mg/5 mL polvo para suspensión oral con solvente (Saval);F-5517;15
812071000167107;concor 5 mg comprimido recubierto (Merck);F-6029;15
812081000167109;ladee 20 comprimido recubierto (Exeltis);F-21659;15
812091000167106;lovastatina 20 mg comprimido (Andrómaco);F-11303;16
812101000167104;serevent LF aerosol para inhalación (GSK);F-15493;16
812131000167109;alfin 100 mg comprimido recubierto (Sanitas);F-9431;16
812151000167103;cinarizina 75 mg cápsula (Andrómaco);F-2286;14
812161000167100;elcal cápsula (Andrómaco);F-11258;16
812171000167106;hyzaar forte comprimido recubierto (MSD);F-7298;15
812181000167108;cinarizina 25 mg comprimido (Andrómaco);F-3013;15
812191000167105;neurum 75 mg cápsula (Saval);F-15732;16
812201000167107;ladee comprimido recubierto (Exeltis);F-21650;15
812211000167109;quitacallos pomada tópica (Farmo Química);F-21743;15
812221000167104;venofer solución inyectable (Andrómaco);F-108;17
812231000167102;glivec 400 mg comprimido recubierto (Novartis);F-13497;14
812241000167105;esamiton jarabe (Esan);N-500;17
812251000167108;carboplatino 150 mg/15 mL solución inyectable (Pfizer);F-10717;16
812261000167106;diazepam 10 mg/2 mL solución inyectable (Biosano);F-3032;15
812271000167100;zabak solución oftálmica (Andrómaco);F-21952;15
812281000167103;valvitae 160 mg comprimido recubierto (Galenicum);F-21232;14
812291000167101;esamisol solución oral para gotas (Esan);F-9284;16
812301000167102;plavix 75 mg comprimido recubierto (Sanofi Aventis);F-520;18
812321000167105;lactulosa 65% solución oral (Andrómaco);F-6558;15
