STK_CONCEPTO;CATEGORIA;CATEGORIA_TEXTO;ESTADO;VALIDADO;MODELADO;USUARIO_VALIDA;FECHA_VALIDA;CONSULTAR;OBSERVACION;COMERCIALIZADO;GRADO_DEFINICION;FECHA_REGISTRO;USUARIO_REGISTRO
3;404684003;Problemas;1;0;0;;;0;;0;;;
4;404684003;Problemas;1;0;0;;;0;;0;;;
5;404684003;Problemas;1;0;0;;;0;;0;;;
6;404684003;Problemas;1;0;0;;;0;;0;;;
7;404684003;Problemas;1;0;0;;;0;;0;;;
8;404684003;Problemas;1;0;0;;;0;;0;;;
9;404684003;Problemas;1;0;0;;;0;;0;;;
11;404684003;Problemas;1;0;0;;;0;;0;;;
12;404684003;Problemas;1;0;0;;;0;;0;;;
13;404684003;Problemas;1;0;0;;;0;;0;;;
14;404684003;Problemas;1;0;0;;;0;;0;;;
15;404684003;Problemas;1;0;0;;;0;;0;;;
16;404684003;Problemas;1;0;0;;;0;;0;;;
17;404684003;Problemas;1;0;0;;;0;;0;;;
18;404684003;Problemas;1;0;0;;;0;;0;;;
19;404684003;Problemas;1;0;0;;;0;;0;;;
20;404684003;Problemas;1;0;0;;;0;;0;;;
21;404684003;Problemas;1;0;0;;;0;;0;;;
22;404684003;Problemas;1;0;0;;;0;;0;;;
23;404684003;Problemas;1;0;0;;;0;;0;;;
24;404684003;Problemas;1;0;0;;;0;;0;;;
25;404684003;Problemas;1;0;0;;;0;;0;;;
26;404684003;Problemas;1;0;0;;;0;;0;;;
27;404684003;Problemas;1;0;0;;;0;;0;;;
28;404684003;Problemas;1;0;0;;;0;;0;;;
29;404684003;Problemas;1;0;0;;;0;;0;;;
30;404684003;Problemas;1;0;0;;;0;;0;;;
31;404684003;Problemas;1;0;0;;;0;;0;;;
32;404684003;Problemas;1;0;0;;;0;;0;;;
33;404684003;Problemas;1;0;0;;;0;;0;;;
34;404684003;Problemas;1;0;0;;;0;;0;;;
35;404684003;Problemas;1;0;0;;;0;;0;;;
36;404684003;Problemas;1;0;0;;;0;;0;;;
37;404684003;Problemas;1;0;0;;;0;;0;;;
38;404684003;Problemas;1;0;0;;;0;;0;;;
40;404684003;Problemas;1;0;0;;;0;;0;;;
41;404684003;Problemas;1;0;0;;;0;;0;;;
42;404684003;Problemas;1;0;0;;;0;;0;;;
44;404684003;Problemas;1;0;0;;;0;;0;;;
45;404684003;Problemas;1;0;0;;;0;;0;;;
46;404684003;Problemas;1;0;0;;;0;;0;;;
47;404684003;Problemas;1;0;0;;;0;;0;;;
48;404684003;Problemas;1;0;0;;;0;;0;;;
49;404684003;Problemas;1;0;0;;;0;;0;;;
50;404684003;Problemas;1;0;0;;;0;;0;;;
51;404684003;Problemas;1;0;0;;;0;;0;;;
52;404684003;Problemas;1;0;0;;;0;;0;;;
53;404684003;Problemas;1;0;0;;;0;;0;;;
54;404684003;Problemas;1;0;0;;;0;;0;;;
55;404684003;Problemas;1;0;0;;;0;;0;;;
56;404684003;Problemas;1;0;0;;;0;;0;;;
57;404684003;Problemas;1;0;0;;;0;;0;;;
58;404684003;Problemas;1;0;0;;;0;;0;;;
59;404684003;Problemas;1;0;0;;;0;;0;;;
60;404684003;Problemas;1;0;0;;;0;;0;;;
61;404684003;Problemas;1;0;0;;;0;;0;;;
63;404684003;Problemas;1;0;0;;;0;;0;;;
64;404684003;Problemas;1;0;0;;;0;;0;;;
65;404684003;Problemas;1;0;0;;;0;;0;;;
66;404684003;Problemas;1;0;0;;;0;;0;;;
67;404684003;Problemas;1;0;0;;;0;;0;;;
68;404684003;Problemas;1;0;0;;;0;;0;;;
69;404684003;Problemas;1;0;0;;;0;;0;;;
70;404684003;Problemas;1;0;0;;;0;;0;;;
71;404684003;Problemas;1;0;0;;;0;;0;;;
72;404684003;Problemas;1;0;0;;;0;;0;;;
73;404684003;Problemas;1;0;0;;;0;;0;;;
74;404684003;Problemas;1;0;0;;;0;;0;;;
75;404684003;Problemas;1;0;0;;;0;;0;;;
76;404684003;Problemas;1;0;0;;;0;;0;;;
77;404684003;Problemas;1;0;0;;;0;;0;;;
78;404684003;Problemas;1;0;0;;;0;;0;;;
79;404684003;Problemas;1;0;0;;;0;;0;;;
80;404684003;Problemas;1;0;0;;;0;;0;;;
81;404684003;Problemas;1;0;0;;;0;;0;;;
82;404684003;Problemas;1;0;0;;;0;;0;;;
83;404684003;Problemas;1;0;0;;;0;;0;;;
84;404684003;Problemas;1;0;0;;;0;;0;;;
85;404684003;Problemas;1;0;0;;;0;;0;;;
86;404684003;Problemas;1;0;0;;;0;;0;;;
87;404684003;Problemas;1;0;0;;;0;;0;;;
88;404684003;Problemas;1;0;0;;;0;;0;;;
89;404684003;Problemas;1;0;0;;;0;;0;;;
90;404684003;Problemas;1;0;0;;;0;;0;;;
91;404684003;Problemas;1;0;0;;;0;;0;;;
92;404684003;Problemas;1;0;0;;;0;;0;;;
93;404684003;Problemas;1;0;0;;;0;;0;;;
94;404684003;Problemas;1;0;0;;;0;;0;;;
95;404684003;Problemas;1;0;0;;;0;;0;;;
96;404684003;Problemas;1;0;0;;;0;;0;;;
97;404684003;Problemas;1;0;0;;;0;;0;;;
98;404684003;Problemas;1;0;0;;;0;;0;;;
99;404684003;Problemas;1;0;0;;;0;;0;;;
100;404684003;Problemas;1;0;0;;;0;;0;;;
101;404684003;Problemas;1;0;0;;;0;;0;;;
102;404684003;Problemas;1;0;0;;;0;;0;;;
103;404684003;Problemas;1;0;0;;;0;;0;;;
104;404684003;Problemas;1;0;0;;;0;;0;;;
105;404684003;Problemas;1;0;0;;;0;;0;;;
106;404684003;Problemas;1;0;0;;;0;;0;;;
107;404684003;Problemas;1;0;0;;;0;;0;;;
108;404684003;Problemas;1;0;0;;;0;;0;;;
109;404684003;Problemas;1;0;0;;;0;;0;;;
110;404684003;Problemas;1;0;0;;;0;;0;;;
111;404684003;Problemas;1;0;0;;;0;;0;;;
112;404684003;Problemas;1;0;0;;;0;;0;;;
113;404684003;Problemas;1;0;0;;;0;;0;;;
114;404684003;Problemas;1;0;0;;;0;;0;;;
115;404684003;Problemas;1;0;0;;;0;;0;;;
116;404684003;Problemas;1;0;0;;;0;;0;;;
117;404684003;Problemas;1;0;0;;;0;;0;;;
118;404684003;Problemas;1;0;0;;;0;;0;;;
119;404684003;Problemas;1;0;0;;;0;;0;;;
120;404684003;Problemas;1;0;0;;;0;;0;;;
121;404684003;Problemas;1;0;0;;;0;;0;;;
122;404684003;Problemas;1;0;0;;;0;;0;;;
123;404684003;Problemas;1;0;0;;;0;;0;;;
124;404684003;Problemas;1;0;0;;;0;;0;;;
125;404684003;Problemas;1;0;0;;;0;;0;;;
126;404684003;Problemas;1;0;0;;;0;;0;;;
127;404684003;Problemas;1;0;0;;;0;;0;;;
128;404684003;Problemas;1;0;0;;;0;;0;;;
129;404684003;Problemas;1;0;0;;;0;;0;;;
130;404684003;Problemas;1;0;0;;;0;;0;;;
132;404684003;Problemas;1;0;0;;;0;;0;;;
133;404684003;Problemas;1;0;0;;;0;;0;;;
134;404684003;Problemas;1;0;0;;;0;;0;;;
135;404684003;Problemas;1;0;0;;;0;;0;;;
136;404684003;Problemas;1;0;0;;;0;;0;;;
137;404684003;Problemas;1;0;0;;;0;;0;;;
