CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;GRUPO_FAMILIA_PRODUCTO_FK;GRUPO_FAMILIA_PRODUCTO_DESC;GRUPO_FAMILIA_GENERICA_FK;GRUPO_FAMILIA_GENERICA_DESC
7328332;AB;;Vigente;Insensible;Manual;;;;;;;7328331;AB;4567041;No
6668956;AB antitusivo;;Vigente;Insensible;Manual;;;;;;;7328331;AB;4567041;No
7188394;abacavir;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
5678060;abacten;;Vigente;Sensible;Manual;;;;;;;5673992;abacten;4567041;No
7234015;abacten forte;;Vigente;Insensible;Manual;;;;;;;5673992;abacten;4567041;No
6905104;abalgin adulto;;Vigente;Insensible;Manual;;;;;;;7328340;abalgin;4567041;No
6671221;abalgin infantil;;Vigente;Sensible;Manual;;;;;;;7328340;abalgin;4567041;No
7707016;abecidin acd;;Vigente;Insensible;Manual;;;;;;;7768901;abecidin acd;4567041;No
7540043;abetal ODT;;Vigente;Insensible;Manual;;;;;;;7768905;abetal ODT;4567041;No
6476976;abilify;;Vigente;Insensible;Manual;;;;;;;7328342;abilify;4567041;No
6628835;abiolex;;Vigente;Insensible;Manual;;;;;;;7328345;abiolex;4567041;No
6556997;abiostal ODT;;Vigente;Insensible;Manual;;;;;;;7328359;abiostal;4567041;No
7229524;abraxane;;Vigente;Insensible;Manual;;;;;;;7229523;abraxane;4567041;No
5678065;abraxil;;Vigente;Sensible;Manual;;;;;;;5673993;abraxil;4567041;No
7188199;abretia;;Vigente;Insensible;Manual;;;;;;;7328362;abretia;4567041;No
7517850;abrielix;;Vigente;Insensible;Manual;;;;;;;7768910;abrielix;4567041;No
5878891;abrilar;;Vigente;Insensible;Manual;;;;;;;7328364;abrilar;4567041;No
7376205;ac forte;;Vigente;Insensible;Manual;;;;;;;7376230;ac;4567041;No
7376229;ac infantil;;Vigente;Insensible;Manual;;;;;;;7376230;ac;4567041;No
5678066;acamol;;Vigente;Sensible;Manual;;;;;;;5673994;acamol;4567041;No
7739064;acamol infantil;;Vigente;Insensible;Manual;;;;;;;5673994;acamol;4567041;No
7739498;acantex intramuscular;;Vigente;Insensible;Manual;;;;;;;5674007;acantex;4567041;No
5678070;acantex IV;;Vigente;Sensible;Manual;;;;;;;5674007;acantex;4567041;No
5678077;accupril;;Vigente;Sensible;Manual;;;;;;;5674008;accupril;4567041;No
5678080;accuretic;;Vigente;Sensible;Manual;;;;;;;5674012;accuretic;4567041;No
7149971;acebron;;Vigente;Insensible;Manual;;;;;;;7768914;acebron;4567041;No
