CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;REVISADO;CONSULTAR;OBSERVACION;SINONIMO;SCT_ID;SCT_TERMINO;GRUPOS_JERARQUICOS
7328331;AB;;Insensible;Manual;Vigente;;;;;;;
5673992;abacten;;Sensible;Manual;Vigente;;;;;;;
7328340;abalgin;;Insensible;Manual;Vigente;;;;;;;
7768901;abecidin acd;;Insensible;Manual;Vigente;;;;;;;
7768905;abetal ODT;;Insensible;Manual;Vigente;;;;;;;
7328342;abilify;;Insensible;Manual;Vigente;;;;;;;
7328345;abiolex;;Insensible;Manual;Vigente;;;;;;;
7328359;abiostal;;Insensible;Manual;Vigente;;;;;;;
7229523;abraxane;;Insensible;Manual;Vigente;;;;;;;
5673993;abraxil;;Sensible;Manual;Vigente;;;;;;;
7328362;abretia;;Insensible;Manual;Vigente;;;;;;;
7768910;abrielix;;Insensible;Manual;Vigente;;;;;;;
7328364;abrilar;;Insensible;Manual;Vigente;;;;;;;
7376230;ac;;Insensible;Manual;Vigente;;;;;;;
5673994;acamol;;Sensible;Manual;Vigente;;;;;;;
5674007;acantex;;Sensible;Manual;Vigente;;;;;;;
5674008;accupril;;Sensible;Manual;Vigente;;;;;;;
5674012;accuretic;;Sensible;Manual;Vigente;;;;;;;
7768914;acebron;;Insensible;Manual;Vigente;;;;;;;
7768919;acemuk;;Insensible;Manual;Vigente;;;;;;;
5674013;acepran;;Sensible;Manual;Vigente;;;;;;;
5674014;acerdil;;Sensible;Manual;Vigente;;;;;;;
7768920;acevit;;Insensible;Manual;Vigente;;;;;;;
7768922;acifin;;Insensible;Manual;Vigente;;;;;;;
7768924;aclasta;;Insensible;Manual;Vigente;;;;;;;
5674015;acneral;;Sensible;Manual;Vigente;;;;;;;
5674017;acnotin;;Sensible;Manual;Vigente;;;;;;;
7768930;acotol;;Insensible;Manual;Vigente;;;;;;;
7768931;act - HIB;;Insensible;Manual;Vigente;;;;;;;
7768857;ACTacel;;Insensible;Manual;Vigente;;;;;;;
5674018;actan;;Sensible;Manual;Vigente;;;;;;;
5674019;actebral;;Sensible;Manual;Vigente;;;;;;;
5674023;actemra;;Sensible;Manual;Vigente;;;;;;;
