CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT ID;SCT TERMINO;DCI DID;DCI TERMINO;SINONIMO;GRUPOS_JERARQUICOS;SUSTANCIAS
4757744;abacavir;;Vigente;Insensible;Manual;Si;;116084008;abacavir;;;;;• 4588932 ¦ abacavir ¦ 1 ¦ Vigente
7034517;abacavir + dolutegravir + lamivudina;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 4588932 ¦ abacavir ¦ 1 ¦ Vigente
• 7034499 ¦ dolutegravir ¦ 2 ¦ Vigente
• 4757770 ¦ lamivudina ¦ 3 ¦ Vigente"
4757824;abacavir + lamivudina;;Vigente;Insensible;Autogenerado;Si;;413381000;abacavir + lamivudina;;;;;"• 4588932 ¦ abacavir ¦ 1 ¦ Vigente
• 4757770 ¦ lamivudina ¦ 2 ¦ Vigente"
5402396;abacavir + lamivudina + zidovudina;;Vigente;Insensible;Autogenerado;Si;;134571004;abacavir+lamivudina+zidovudina;;;;;"• 5208215 ¦ zidovudina ¦ 3 ¦ Vigente
• 4757770 ¦ lamivudina ¦ 2 ¦ Vigente
• 4588932 ¦ abacavir ¦ 1 ¦ Vigente"
5402442;abatacept;;Vigente;Insensible;Autogenerado;Si;;421412005;abatacept;;;;;• 4588936 ¦ abatacept ¦ 1 ¦ Vigente
5402748;abciximab;;Vigente;Insensible;Autogenerado;Si;;108974006;abciximab;;;;;• 4757586 ¦ abciximab ¦ 1 ¦ Vigente
6622330;abiraterona;;Vigente;Insensible;Autogenerado;Si;;abira;;;;;;• 4839786 ¦ abiraterona ¦ 1 ¦ Vigente
5674202;abobotulinumtoxina A;;Vigente;Insensible;Autogenerado;;;;;;;;;• 5202050 ¦ abobotulinumtoxina A ¦ 1 ¦ Vigente
7640997;aceglutamida + ácido gamma amino beta hidroxibutírico + ácido gamma aminobutírico + piridoxina;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4930292 ¦ ácido gamma aminobutírico ¦ 3 ¦ Vigente
• 7640974 ¦ aceglutamida ¦ 1 ¦ Vigente
• 5166963 ¦ piridoxina ¦ 4 ¦ Vigente
• 4849554 ¦ ácido gamma amino beta hidroxibutírico ¦ 2 ¦ Vigente"
5494896;aceite de hígado de bacalao + clorocarvacol + oxipolitoxidodecano;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5158982 ¦ oxipolietoxidodecano ¦ 3 ¦ Vigente
• 5199722 ¦ clorocarvacol ¦ 2 ¦ Vigente
• 4840070 ¦ aceite de hígado de bacalao ¦ 1 ¦ Vigente"
5406762;acenocumarol;;Vigente;Insensible;Autogenerado;Si;;79356008;acenocumarol;;;;;• 4840230 ¦ acenocumarol ¦ 1 ¦ Vigente
5531671;acetato de betametasona + betametasona fosfato sódico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5153754 ¦ betametasona fosfato sódico ¦ 2 ¦ Vigente
• 6434407 ¦ acetato de betametasona ¦ 1 ¦ Vigente"
5406848;acetato de calcio;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4840292 ¦ acetato de calcio ¦ 1 ¦ Vigente
5407217;acetato de sodio;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4840414 ¦ acetato de sodio ¦ 1 ¦ Vigente
7502709;acetato de zinc + eritromicina;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 7502706 ¦ acetato de zinc ¦ 1 ¦ Vigente
• 4828526 ¦ eritromicina ¦ 2 ¦ Vigente"
5407466;acetazolamida;;Vigente;Insensible;Autogenerado;Si;;33664007;acetazolamida;;;;;• 4840556 ¦ acetazolamida ¦ 1 ¦ Vigente
5409283;acetilcisteína;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4840615 ¦ acetilcisteína ¦ 1 ¦ Vigente
5915414;acetónido de fluocinolona + ciprofloxacino;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 4840898 ¦ acetónido de fluocinolona ¦ 1 ¦ Vigente
• 5197886 ¦ ciprofloxacino ¦ 2 ¦ Vigente"
5679174;acetónido de fluocinolona + hidroquinona + tretinoína;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5202133 ¦ tretinoína ¦ 3 ¦ Vigente
• 5679156 ¦ hidroquinona ¦ 2 ¦ Vigente
• 4840898 ¦ acetónido de fluocinolona ¦ 1 ¦ Vigente"
7523192;acetónido de fluocinolona + lidocaína + neomicina + polimixina B;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4840898 ¦ acetónido de fluocinolona ¦ 1 ¦ Vigente
• 6401715 ¦ lidocaína ¦ 2 ¦ Vigente
• 5153794 ¦ neomicina ¦ 3 ¦ Vigente
• 5167482 ¦ polimixina B ¦ 4 ¦ Vigente"
5407601;aciclovir;;Vigente;Insensible;Autogenerado;Si;;41193000;aciclovir;;;;;• 4841356 ¦ aciclovir ¦ 1 ¦ Vigente
5408557;ácido acetilsalicílico;;Vigente;Insensible;Autogenerado;Si;;7947003;ácido acetilsalicílico;;;;• 7552959 - Observatorio de precios;• 4844504 ¦ ácido acetilsalicílico ¦ 1 ¦ Vigente
7377317;ácido acetilsalicílico + ácido ascórbico;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4846670 ¦ ácido ascórbico ¦ 2 ¦ Vigente
• 4844504 ¦ ácido acetilsalicílico ¦ 1 ¦ Vigente"
7413069;ácido acetilsalicílico + ácido cítrico + bicarbonato de sodio;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4844504 ¦ ácido acetilsalicílico ¦ 1 ¦ Vigente
• 5153844 ¦ bicarbonato de sodio ¦ 3 ¦ Vigente
• 4847221 ¦ ácido cítrico ¦ 2 ¦ Vigente"
5408572;ácido acetilsalicílico + cafeína;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5154129 ¦ cafeína ¦ 2 ¦ Vigente
• 4844504 ¦ ácido acetilsalicílico ¦ 1 ¦ Vigente"
7299133;ácido acetilsalicílico + cafeína + clorfenamina;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4844504 ¦ ácido acetilsalicílico ¦ 1 ¦ Vigente
• 5154129 ¦ cafeína ¦ 2 ¦ Vigente
• 5199623 ¦ clorfenamina ¦ 3 ¦ Vigente"
5408745;ácido acetilsalicílico + cafeína + paracetamol;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5166991 ¦ paracetamol ¦ 3 ¦ Vigente
• 5154129 ¦ cafeína ¦ 2 ¦ Vigente
• 4844504 ¦ ácido acetilsalicílico ¦ 1 ¦ Vigente"
5494400;ácido acetilsalicílico + clopidogrel;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5199327 ¦ clopidogrel ¦ 2 ¦ Vigente
• 4844504 ¦ ácido acetilsalicílico ¦ 1 ¦ Vigente"
5409379;ácido alendrónico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4844663 ¦ ácido alendrónico ¦ 1 ¦ Vigente
5408453;ácido alendrónico + carbonato de calcio + colecalciferol;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5201981 ¦ colecalciferol ¦ 3 ¦ Vigente
• 5154289 ¦ carbonato de calcio ¦ 2 ¦ Vigente
• 4844663 ¦ ácido alendrónico ¦ 1 ¦ Vigente"
5408496;ácido alendrónico + colecalciferol;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5201981 ¦ colecalciferol ¦ 2 ¦ Vigente
• 4844663 ¦ ácido alendrónico ¦ 1 ¦ Vigente"
