CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;PRESC_FK;PRESC_DESC;MEDICAMENTO_BASICO_FK;MEDICAMENTO_BASICO_DESC;FRM_FARMA_AGRP_FK;FRM_FARMA_AGRP_DESC;CONDICION_VENTA_FK;CONDICION_VENTA_DESC;ESTADO_PRESCRIPCION_FK;ESTADO_PRESCRIPCION_DESC;TIPO_FORMA_AGRP_FK;TIPO_FORMA_AGRP_DESC;UNIDOSIS_LOGISTICA_CANT;UNIDOSIS_LOGISTICA_UNIDAD_FK;UNIDOSIS_LOGISTICA_UNIDAD_DESC;UNIDOSIS_ASISTENCIAL_CANT;UNI_ASISTENCIAL_UNIDAD_FK;UNI_ASISTENCIAL_UNIDAD_DESC;VOLUMEN_TOTAL_CANTIDAD;VOLUMEN_TOTAL_UNIDAD_FK;VOLUMEN_TOTAL_UNIDAD_DESC;ATC_DESCRIPCION_FK;ATC_DESCRIPCION_DESC;URL_MEDLINE_PLUS;VIAS_ADMINISTRACION;MC_SUST;;;;;
5987070;abacavir 100 mg/5 mL solución oral;;Vigente;Insensible;Manual;Si;;324881002;abacavir, 20 mg/ml, solución oral;;;4589063;válido como MC prescribible;4757744;abacavir;5715329;solución oral;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767861;frasco;1;5765871;mililitro;0;5765871;mililitro;4579060;J05AF06;;;• abacavir ¦ 100 mg ¦ 5 mL ¦ 2 ¦ Vigente;;;;;
5986374;abacavir 300 mg + lamivudina 150 mg + zidovudina 300 mg comprimido;;Vigente;Insensible;Manual;Si;;377159003;sulfato de abacavir + lamivudina + zidovudina, 300 mg/150 mg/300 mg, comprimido;;;4589063;válido como MC prescribible;5402396;abacavir + lamivudina + zidovudina;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5767855;comprimido;0;;;4579080;J05AR04;;;"• zidovudina ¦ 300 mg ¦   ¦ 3 ¦ Vigente• abacavir ¦ 300 mg ¦   ¦ 1 ¦ Vigente• lamivudina ¦ 150 mg ¦   ¦ 2 ¦ Vigente";;;;;
5986580;abacavir 300 mg comprimido;;Vigente;Insensible;Manual;Si;;324880001;abacavir, 300 mg, comprimido;;;4589063;válido como MC prescribible;4757744;abacavir;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;4579060;J05AF06;;;• abacavir ¦ 300 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
7034927;abacavir 600 mg + dolutegravir 50 mg + lamivudina 300 mg comprimido;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;7034517;abacavir + dolutegravir + lamivudina;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5767855;comprimido;0;;;;;;;"• lamivudina ¦ 300 mg ¦ 0  ¦ 3 ¦ Vigente• dolutegravir ¦ 50 mg ¦ 0  ¦ 2 ¦ Vigente• abacavir ¦ 600 mg ¦ 0  ¦ 1 ¦ Vigente";;;;;
5986708;abacavir 600 mg + lamivudina 300 mg comprimido;;Vigente;Insensible;Manual;Si;;413382007;abacavir 600 mg/ lamivudina 300 mg, comprimido;;;4589063;válido como MC prescribible;4757824;abacavir + lamivudina;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5767855;comprimido;0;;;4579078;J05AR02;;;"• lamivudina ¦ 300 mg ¦ 0  ¦ 2 ¦ Vigente• abacavir ¦ 600 mg ¦ 0  ¦ 1 ¦ Vigente";;;;;
6432580;abatacept 125 mg/mL inyectable;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5402442;abatacept;5715210;inyectable;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5917385;jeringa prellenada;1;5765870;miligramo;1;5765871;mililitro;4579525;L04AA24;;;• abatacept ¦ 125 mg ¦ 1 mL ¦ 1 ¦ Vigente;;;;;
5986508;abatacept 250 mg inyectable;;Vigente;Insensible;Manual;;;421333000;abatacept 250 mg, polvo para solución inyectable, 15 ml, vial;;;4589063;válido como MC prescribible;5402442;abatacept;5715210;inyectable;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767894;vial;1;5765870;miligramo;0;;;4579525;L04AA24;;;• abatacept ¦ 250 mg ¦   ¦ 1 ¦ Vigente;;;;;
5987352;abciximab 10 mg/5 mL (2 mg/mL) inyectable;;Vigente;Sensible;Manual;Si;;319794009;abciximab, 2 mg/ml, solución inyectable, vial de 5 ml;;;4589063;válido como MC prescribible;5402748;abciximab;5715210;inyectable;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767894;vial;1;5765870;miligramo;5;7008554;mililitros;4576777;B01AC13;;;• abciximab ¦ 10 mg ¦ 5 mL ¦ 1 ¦ Vigente;;;;;
5986840;abiraterona 250 mg comprimido;;Vigente;Sensible;Manual;Si;;;;;;4589063;válido como MC prescribible;6622330;abiraterona;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;4579464;L02BX03;;;• abiraterona ¦ 250 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
7294073;abobotulinumtoxina A 500 U inyectable;;Vigente;Insensible;Manual;Si;;444625002;abobotulinumtoxinA, 500 unidades, inyectable;;;4589063;válido como MC prescribible;5674202;abobotulinumtoxina A;5715210;inyectable;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767894;vial;1;7663872;Unidades;0;;;;;;;• abobotulinumtoxina A ¦ 500 U ¦ 0  ¦ 1 ¦ Vigente;;;;;
