FK_CCTNU_CONCEPTO_ID;CCTNU_CONCEPTO_ID;CCTVA_DESCRIPCION_USUARIO;CRTNU_ORDEN;ESTADO
5987121;4589364;oral;1;Vigente
5987123;4589364;oral;1;Vigente
5987149;4589360;intravenosa;1;Vigente
5987152;4589392;ocular;1;Vigente
5987167;4589360;intravenosa;1;Vigente
5987185;4589365;intramuscular;1;Vigente
5987187;4589364;oral;1;Vigente
5987191;4589377;tópica;1;Vigente
5987192;4589364;oral;1;Vigente
5987197;4589364;oral;1;Vigente
5987231;4589364;oral;1;Vigente
5987232;4589364;oral;1;Vigente
5987275;4589360;intravenosa;1;Vigente
5987326;4589377;tópica;1;Vigente
5987330;4589364;oral;1;Vigente
5987345;4589364;oral;1;Vigente
5987353;4589364;oral;1;Vigente
5987360;4589364;oral;1;Vigente
5987365;4589364;oral;1;Vigente
5987367;4589364;oral;1;Vigente
5987371;4589364;oral;1;Vigente
5987373;4589365;intramuscular;1;Vigente
5987373;4589360;intravenosa;1;Vigente
5987401;4589364;oral;1;Vigente
5987405;4589392;ocular;1;Vigente
5987412;4589365;intramuscular;1;Vigente
5987425;4589360;intravenosa;1;Vigente
5987432;4589392;ocular;1;Vigente
5987441;4589364;oral;1;Vigente
5987449;4589364;oral;1;Vigente
5986835;4589377;tópica;1;Vigente
5986853;4589364;oral;1;Vigente
5986882;4589364;oral;1;Vigente
5987461;4589360;intravenosa;1;Vigente
5987465;4589364;oral;1;Vigente
5987468;4589364;oral;1;Vigente
5987495;4589364;oral;1;Vigente
5987512;4589364;oral;1;Vigente
5986885;4589364;oral;1;Vigente
5986892;4589364;oral;1;Vigente
5986897;4589364;oral;1;Vigente
5986903;4589364;oral;1;Vigente
5986909;4589364;oral;1;Vigente
5986919;4589360;intravenosa;1;Vigente
5986919;4589365;intramuscular;1;Vigente
5986925;4589360;intravenosa;1;Vigente
5986927;4589364;oral;1;Vigente
5987530;4589364;oral;1;Vigente
5987537;4589365;intramuscular;1;Vigente
5987550;4589360;intravenosa;1;Vigente
5987550;7731248;intraarterial;1;Vigente
5987553;4589364;oral;1;Vigente
5987574;4589364;oral;1;Vigente
5987585;4589364;oral;1;Vigente
5987602;4589364;oral;1;Vigente
5987602;4589386;rectal;1;Vigente
5987615;4589364;oral;1;Vigente
5987620;4589364;oral;1;Vigente
5987626;6510397;intrauterina;1;Vigente
5986960;4589364;oral;1;Vigente
5986962;4589364;oral;1;Vigente
5986972;4589364;oral;1;Vigente
6347425;4589392;ocular;1;Vigente
100278;4589364;oral;1;Vigente
4642251;4589370;subcutánea;1;Vigente
54084;4589360;intravenosa;1;Vigente
70109;4589360;intravenosa;1;Vigente
73532;4589360;intravenosa;1;Vigente
81747;4589364;oral;1;Vigente
151662;4589364;oral;1;Vigente
252272;4589360;intravenosa;1;Vigente
252272;4589365;intramuscular;1;Vigente
71873;4589381;nebulización;1;Vigente
153777;4589360;intravenosa;1;Vigente
5987040;4589360;intravenosa;1;Vigente
5987044;4589360;intravenosa;1;Vigente
5987055;4589364;oral;1;Vigente
5987085;4589364;oral;1;Vigente
5987087;4589364;oral;1;Vigente
5987097;4589364;oral;1;Vigente
5987099;4589364;oral;1;Vigente
5987108;4589365;intramuscular;1;Vigente
6340907;4589364;oral;1;Vigente
1470030;4589364;oral;1;Vigente
5289278;4589364;oral;1;Vigente
1917925;4589364;oral;1;Vigente
6639337;4589364;oral;1;Vigente
7222163;4589364;oral;1;Vigente
6413264;4589364;oral;1;Vigente
6651640;4589364;oral;1;Vigente
7224421;4589364;oral;1;Vigente
6436450;4589364;oral;1;Vigente
6657318;4589364;oral;1;Vigente
7259653;4589364;oral;1;Vigente
7285683;4589370;subcutánea;1;Vigente
6435172;4589365;intramuscular;1;Vigente
6435172;4589360;intravenosa;1;Vigente
6413109;4589364;oral;1;Vigente
6426013;4589364;oral;1;Vigente
6437200;4589364;oral;1;Vigente
6444564;4589364;oral;1;Vigente
6627663;4589364;oral;1;Vigente
6417006;4589364;oral;1;Vigente
7268517;4589398;endonasal;1;Vigente
6454567;4589364;oral;1;Vigente
6601321;4589364;oral;1;Vigente
7101728;4589420;inhalatoria oral;1;Vigente
7274838;4589360;intravenosa;1;Vigente
7092111;4589377;tópica;1;Vigente
7108465;4589364;oral;1;Vigente
7294060;4589365;intramuscular;1;Vigente
7145235;4589377;tópica;1;Vigente
6424537;4589364;oral;1;Vigente
6669021;4589364;oral;1;Vigente
6422531;4589364;oral;1;Vigente
6424554;4589364;oral;1;Vigente
7287015;4589370;subcutánea;1;Vigente
6425150;4589364;oral;1;Vigente
6600684;4589364;oral;1;Vigente
6454999;4589392;ocular;1;Vigente
6619821;4589364;oral;1;Vigente
7085742;4589364;oral;1;Vigente
6742760;4589360;intravenosa;1;Vigente
7000013;4589364;oral;1;Vigente
6671147;4589364;oral;1;Vigente
6667806;4589386;rectal;1;Vigente
6413318;4589364;oral;1;Vigente
6424489;4589364;oral;1;Vigente
6447089;4589392;ocular;1;Vigente
