CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;MEDICAMENTO_CLINICO_FK;MEDICAMENTO_CLINICO_DESC;TIPO_FK;TIPO_DESC;CANTIDAD;UNIDAD_MEDIDA_CANTIDAD_FK;UNIDAD_MEDIDA_CANTIDAD_DESC;PACK_MULTI_CANTIDAD;PACK_MULTI_UNIDAD_FK;PACK_MULTI_UNIDAD_DESC;VOLUMEN_TOTAL_CANTIDAD;VOLUMEN_TOTAL_UNIDAD_FK;VOLUMEN_TOTAL_UNIDAD_DESC
7338933;abacavir 100 mg/5 mL solución oral 1 frasco 240 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;5987070;abacavir 100 mg/5 mL solución oral;4589162;venta público;1;5767861;frasco;;;;240;7008554;mililitros
7339676;abacavir 300 mg + lamivudina 150 mg + zidovudina 300 mg comprimido 60 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;5986374;abacavir 300 mg + lamivudina 150 mg + zidovudina 300 mg comprimido;4589162;venta público;60;6802296;comprimidos;;;;;;
7188403;abacavir 300 mg comprimido 60 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;5986580;abacavir 300 mg comprimido;4589162;venta público;60;6802296;comprimidos;;;;;;
7034935;abacavir 600 mg + dolutegravir 50 mg + lamivudina 300 mg comprimido 30 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;7034927;abacavir 600 mg + dolutegravir 50 mg + lamivudina 300 mg comprimido;4589162;venta público;30;6802296;comprimidos;;;;;;
7008458;abacavir 600 mg + lamivudina 300 mg comprimido 30 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;5986708;abacavir 600 mg + lamivudina 300 mg comprimido;4589162;venta público;30;6802296;comprimidos;;;;;;
7723555;abatacept 125 mg/mL inyectable 4 jeringas prellenadas 1 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;6432580;abatacept 125 mg/mL inyectable;4589162;venta público;4;6802310;jeringas prellenadas;;;;1;7008554;mililitros
7248404;abatacept 250 mg inyectable 1 vial;;Vigente;Insensible;Autogenerado;;;;;;;5986508;abatacept 250 mg inyectable;4589162;venta público;1;5767894;vial;;;;;;
7344501;abciximab 10 mg/5 mL (2 mg/mL) inyectable 1 vial 5 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;5987352;abciximab 10 mg/5 mL (2 mg/mL) inyectable;4589162;venta público;1;5767894;vial;;;;5;7008554;mililitros
7236187;abiraterona 250 mg comprimido 120 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;5986840;abiraterona 250 mg comprimido;4589162;venta público;120;6802296;comprimidos;;;;;;
7294082;abobotulinumtoxina A 500 U inyectable 1 vial;;Vigente;Insensible;Autogenerado;;;;;;;7294073;abobotulinumtoxina A 500 U inyectable;4589162;venta público;1;5767894;vial;;;;;;
7641342;aceglutamida 25 mg + ácido gamma amino beta hidroxibutírico 25 mg + ácido gamma aminobutírico 250 mg + piridoxina 25 mg cápsula 60 cápsulas;;Vigente;Insensible;Autogenerado;;;;;;;7641026;aceglutamida 25 mg + ácido gamma amino beta hidroxibutírico 25 mg + ácido gamma aminobutírico 250 mg + piridoxina 25 mg cápsula;4589162;venta público;60;6764541;cápsulas;;;;;;
7641382;aceglutamida 25 mg/5 mL + ácido gamma amino beta hidroxibutírico 25 mg/5 mL + ácido gamma aminobutírico 250 mg/5 mL + piridoxina 25 mg/5 mL solución oral 1 frasco 100 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;7641367;aceglutamida 25 mg/5 mL + ácido gamma amino beta hidroxibutírico 25 mg/5 mL + ácido gamma aminobutírico 250 mg/5 mL + piridoxina 25 mg/5 mL solución oral;4589162;venta público;1;5767861;frasco;;;;100;7008554;mililitros
7526068;aceite de hígado de bacalao 11% (110 mg/g) + clorocarvacol 0,1% (1 mg/g) + oxipolietoxidodecano 5% (50 mg/g) ungüento 1 pomo 20 gramos;;Vigente;Insensible;Autogenerado;;;;;;;7526037;aceite de hígado de bacalao 11% (110 mg/g) + clorocarvacol 0,1% (1 mg/g) + oxipolietoxidodecano 5% (50 mg/g) ungüento rectal;4589162;venta público;1;5912594;pomo;;;;20;7100992;gramos
7526468;aceite de hígado de bacalao 220 mg + clorocarvacol 0,7 mg + oxipolietoxidodecano 20 mg supositorio 10 supositorios;;Vigente;Insensible;Autogenerado;;;;;;;5680331;aceite de hígado de bacalao 220 mg + clorocarvacol 0,7 mg + oxipolietoxidodecano 20 mg supositorio;4589162;venta público;10;6802302;supositorios;;;;;;
7658016;aceite tópico 1 frasco 120 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;7635394;aceite tópico;4589162;venta público;1;5767861;frasco;;;;120;7008554;mililitros
7728886;aceite tópico 1 frasco 30 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;7635394;aceite tópico;4589162;venta público;1;5767861;frasco;;;;30;7008554;mililitros
7636660;aceite tópico 1 frasco 400 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;7635394;aceite tópico;4589162;venta público;1;5767861;frasco;;;;400;7008554;mililitros
7650712;aceite tópico 1 pomo 120 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;7635394;aceite tópico;4589162;venta público;1;5912594;pomo;;;;120;7008554;mililitros
7149843;acenocumarol 4 mg comprimido 20 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;384126;acenocumarol 4 mg comprimido;4589162;venta público;20;6802296;comprimidos;;;;;;
7150026;acenocumarol 4 mg comprimido 200 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;384126;acenocumarol 4 mg comprimido;4589152;envase clínico;200;6802296;comprimidos;;;;;;
7149845;acenocumarol 4 mg comprimido 30 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;384126;acenocumarol 4 mg comprimido;4589162;venta público;30;6802296;comprimidos;;;;;;
7709644;acetato de betametasona 6 mg/2 mL (3 mg/mL) + betametasona fosfato sódico 8 mg/2 mL (4 mg/mL) inyectable 1 jeringa prellenada 2 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;7729506;acetato de betametasona 6 mg/2 mL (3 mg/mL) + betametasona fosfato sódico 8 mg/2 mL (4 mg/mL) inyectable;4589162;venta público;1;5917385;jeringa prellenada;;;;2;7008554;mililitros
7031671;acetato de betametasona 9 mg/3 mL (3 mg/mL) + betametasona fosfato sódico 12 mg/3 mL (4 mg/mL) inyectable 1 ampolla 3 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;93137;acetato de betametasona 9 mg/3 mL (3 mg/mL) + betametasona fosfato sódico 12 mg/3 mL (4 mg/mL) inyectable;4589162;venta público;1;5767802;ampolla;;;;3;7008554;mililitros
7380313;acetato de calcio 667 mg (calcio 169 mg) comprimido 60 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;5986349;acetato de calcio 667 mg (calcio 169 mg) comprimido;4589162;venta público;60;6802296;comprimidos;;;;;;
7543543;acetato de sodio 30% (300 mg/mL) inyectable 100 ampollas 10 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;5987107;acetato de sodio 30% (300 mg/mL) inyectable;4589152;envase clínico;100;6802291;ampollas;;;;10;7008554;mililitros
7543545;acetato de sodio 30% (300 mg/mL) inyectable 5 ampollas 10 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;5987107;acetato de sodio 30% (300 mg/mL) inyectable;4589162;venta público;5;6802291;ampollas;;;;10;7008554;mililitros
7502749;acetato de zinc 1,2% (12 mg/mL) + eritromicina 4% (40 mg/mL) loción 1 frasco 30 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;7502722;acetato de zinc 1,2% (12 mg/mL) + eritromicina 4% (40 mg/mL) loción;4589162;venta público;1;5767861;frasco;;;;30;7008554;mililitros
7097415;acetazolamida 250 mg comprimido 20 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;520;acetazolamida 250 mg comprimido;4589162;venta público;20;6802296;comprimidos;;;;;;
7637476;acetilcisteína 100 mg granulado 10 sobres;;Vigente;Insensible;Autogenerado;;;;;;;7637442;acetilcisteína 100 mg granulado;4589162;venta público;10;6802308;sobres;;;;;;
7722352;acetilcisteína 100 mg/mL solución para nebulización 3 frascos 15 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;421025;acetilcisteína 100 mg/mL solución para nebulización;4589162;venta público;3;6802307;frascos;;;;15;7008554;mililitros
7572367;acetilcisteína 2% (20 mg/g) granulado 1 frasco 40 gramos;;Vigente;Insensible;Autogenerado;;;;;;;318334;acetilcisteína 2% (20 mg/g) granulado;4589162;venta público;1;5767861;frasco;;;;40;7100992;gramos
7637480;acetilcisteína 600 mg granulado 10 sobres;;Vigente;Insensible;Autogenerado;;;;;;;7637452;acetilcisteína 600 mg granulado;4589162;venta público;10;6802308;sobres;;;;;;
7431078;acetónido de fluocinolona 0,01% (100 mcg/g) + hidroquinona 4% (40 mg/g) + tretinoína 0,05% (500 mcg/g) crema 1 pomo 15 gramos;;Vigente;Insensible;Autogenerado;;;;;;;5987271;acetónido de fluocinolona 0,01% (100 mcg/g) + hidroquinona 4% (40 mg/g) + tretinoína 0,05% (500 mcg/g) crema;4589162;venta público;1;5912594;pomo;;;;15;7100992;gramos
7712057;acetónido de fluocinolona 250 mcg/mL + ciprofloxacino 3 mg/mL gotas óticas 1 frasco 10 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;5915444;acetónido de fluocinolona 250 mcg/mL + ciprofloxacino 3 mg/mL gotas óticas;4589162;venta público;1;5767861;frasco;;;;10;7008554;mililitros
