CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;MEDICAMENTO_CLINICO;LABORATORIO_FK;LABORATORIO_DESC;FORM_FARM_EXT_FK;FORM_FARM_EXT_DESC;SABOR_FK;SABOR_DESC;FAMILIA_PRODUCTO_FK;FAMILIA_PRODUCTO_DESC;COMERCIALIZADO_CHILE_FK;COMERCIALIZADO_CHILE_DESC;PRODUCTO_ISP;BIOEQUIVALENTES
5987749;AB antitusivo comprimido masticable (Saval);;Vigente;Sensible;Manual;;;;;;;• clorhexidina 5 mg + noscapina 10 mg comprimido;5790427;Laboratorio Saval S.A.;5723468;comprimido masticable;;;6668956;AB antitusivo;4567040;Si;• F-9562/11 - AB ANTITUSIVO COMPRIMIDOS MASTICABLES;
7332784;AB comprimido masticable (Saval);;Vigente;Sensible;Manual;;;;;;;• clorhexidina 5 mg comprimido;5790427;Laboratorio Saval S.A.;5723468;comprimido masticable;;;7328332;AB;4567040;Si;• F-5508/15 - AB ANTISÉPTICO BUCAL COMPRIMIDOS MASTICABLES 5 mg;
7188505;abacavir 300 mg comprimido recubierto (Master Care);;Vigente;Sensible;Manual;;;;;;;• abacavir 300 mg comprimido;5781869;Master Care S.A.;5733746;comprimido recubierto;;;7188394;abacavir;4567040;Si;• F-21021/14 - ABACAVIR COMPRIMIDOS RECUBIERTOS 300 mg;
6661497;abacten comprimido recubierto (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• azitromicina 500 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5733746;comprimido recubierto;;;5678060;abacten;4567040;Si;"• F-11176/11 - ABACTEN COMPRIMIDOS RECUBIERTOS 500 mg• F-11176/16 - ABACTEN COMPRIMIDOS RECUBIERTOS 500 mg";
54758;abacten forte polvo para suspensión oral con solvente (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• azitromicina 400 mg/5 mL polvo para preparado oral;5766512;Laboratorios Andrómaco S.A.;5768703;polvo para suspensión oral con solvente;;;7234015;abacten forte;4567040;Si;• F-14751/15 - ABACTEN FORTE POLVO PARA SUSPENSIÓN ORAL 400 mg/5 mL CON SOLVENTE;
856671;abacten polvo para suspensión oral con solvente (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• azitromicina 200 mg/5 mL polvo para preparado oral;5766512;Laboratorios Andrómaco S.A.;5768703;polvo para suspensión oral con solvente;;;5678060;abacten;4567040;Si;• F-11177/16 - ABACTEN POLVO PARA SUSPENSIÓN ORAL 200 mg/5 mL, CON SOLVENTE;
7112812;abecidin acd solución oral para gotas (Pasteur);;Vigente;Sensible;Manual;;;;;;;• ácido ascórbico 75 mg/mL + colecalciferol 400 UI/mL + retinol 2500 UI/mL gotas orales;5768935;Laboratorios Pasteur Ltda.;5766242;solución oral para gotas;;;7707016;abecidin acd;4567040;Si;• F-6415/15 - ABECIDIN ACD SOLUCIÓN PARA GOTAS ORALES;
7540048;abetal ODT comprimido dispersable (Drugtech);;Vigente;Sensible;Manual;;;;;;;• eletriptán 40 mg comprimido;5970334;Drugtech División (Recalcine);5723458;comprimido dispersable;;;7540043;abetal ODT;4567040;Si;• F-21463/14 - ABETAL ODT COMPRIMIDOS DISPERSABLES 40 mg;
5988090;abilify 10 mg comprimido (B-MS);;Vigente;Sensible;Manual;;;;;;;• aripiprazol 10 mg comprimido;6405931;Bristol-Myers Squibb;5723406;comprimido;;;6476976;abilify;4567040;Si;• F-14393/09 - ABILIFY COMPRIMIDOS 10 mg;"• F-14664/15 - AZYMOL COMPRIMIDOS 10 mg• F-22475/16 - AZDIR COMPRIMIDOS 10 mg (ARIPIPRAZOL)• F-22421/16 - AZDIR ODT COMPRIMIDOS BUCODISPERSABLES 10 mg (ARIPRAZOL)"
6477154;abilify 15 mg comprimido (B-MS);;Vigente;Sensible;Manual;;;;;;;• aripiprazol 15 mg comprimido;6405931;Bristol-Myers Squibb;5723406;comprimido;;;6476976;abilify;4567040;Si;• F-14394/09 - ABILIFY COMPRIMIDOS 15 mg;"• F-14665/15 - AZYMOL COMPRIMIDOS 15 mg• F-22459/16 - AZDIR COMPRIMIDOS 15 mg (Aripiprazol)• F-22287/15 - AZDIR ODT COMPRIMIDOS BUCODISPERSABLES 15 mg (ARIPIPRAZOL)"
