CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;PACK_MULTI_CANTIDAD;PACK_MULTI_UNIDAD_FK;PACK_MULTI_UNIDAD_DESC;MED_CLINICO_CON_ENVASE_FK;MED_CLINICO_CON_ENVASE_DESC;PRODUCTO_COMERCIAL_FK;PRODUCTO_COMERCIAL_DESC;EXISTE_EN_GS1_FK;EXISTE_EN_GS1_DESC;GTIN_GS1
7294062;AB antitusivo comprimido masticable (Saval) 12 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7294056;clorhexidina 5 mg + noscapina 10 mg comprimido 12 comprimidos;5987749;AB antitusivo comprimido masticable (Saval);4567041;No;
7332795;AB comprimido masticable (Saval) 12 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7332789;clorhexidina 5 mg comprimido 12 comprimidos;7332784;AB comprimido masticable (Saval);4567041;No;
7188516;abacavir 300 mg comprimido recubierto (Master Care) 60 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7188403;abacavir 300 mg comprimido 60 comprimidos;7188505;abacavir 300 mg comprimido recubierto (Master Care);4567041;No;
7147300;abacten comprimido recubierto (Andrómaco) 6 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7097457;azitromicina 500 mg comprimido 6 comprimidos;6661497;abacten comprimido recubierto (Andrómaco);4567041;No;
7447295;abacten forte polvo para suspensión oral con solvente (Andrómaco) 1 frasco 20 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;6698809;azitromicina 400 mg/5 mL polvo para preparado oral 1 frasco 20 mililitros;54758;abacten forte polvo para suspensión oral con solvente (Andrómaco);4567041;No;
7447303;abacten forte polvo para suspensión oral con solvente (Andrómaco) 1 frasco 30 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;6916865;azitromicina 400 mg/5 mL polvo para preparado oral 1 frasco 30 mililitros;54758;abacten forte polvo para suspensión oral con solvente (Andrómaco);4567041;No;
7447226;abacten polvo para suspensión oral con solvente (Andrómaco) 1 frasco 15 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;6916861;azitromicina 200 mg/5 mL polvo para preparado oral 1 frasco 15 mililitros;856671;abacten polvo para suspensión oral con solvente (Andrómaco);4567041;No;
7447232;abacten polvo para suspensión oral con solvente (Andrómaco) 1 frasco 30 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;6707912;azitromicina 200 mg/5 mL polvo para preparado oral 1 frasco 30 mililitros;856671;abacten polvo para suspensión oral con solvente (Andrómaco);4567041;No;
7112824;abecidin acd solución oral para gotas (Pasteur) 1 frasco 30 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7101681;ácido ascórbico 75 mg/mL + colecalciferol 400 UI/mL + retinol 2500 UI/mL gotas orales 1 frasco 30 mililitros;7112812;abecidin acd solución oral para gotas (Pasteur);4567041;No;
7540059;abetal ODT comprimido dispersable (Drugtech) 2 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7322392;eletriptán 40 mg comprimido 2 comprimidos;7540048;abetal ODT comprimido dispersable (Drugtech);4567041;No;
