CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;REVISADO;CONSULTAR;OBSERVACION;SINONIMO;SCT_ID;SCT_TERMINO;DCI_DID;DCI_TERMINO;GRUPOS_JERARQUICOS;RIESGO_TERATOGENICO
4588932;abacavir;;Insensible;Manual;Vigente;Si;;abacavir;;387005008;abacavir;7544;abacavir;;C
4588936;abatacept;;Insensible;Manual;Vigente;Si;;abatacept;;421777009;abatacept;8495;abatacept;;C
4757586;abciximab;;Insensible;Manual;Vigente;Si;;abciximab;;386951001;abciximab;7200;abciximab;;C
4839786;abiraterona;;Insensible;Manual;Vigente;Si;;abiraterona;;699678007;abiraterona;7375;abiraterona;;X
5202050;abobotulinumtoxina A;;Insensible;Manual;Vigente;;;;;;;;;;
7640974;aceglutamida;;Insensible;Manual;Vigente;;;;;;;;;;
4840070;aceite de hígado de bacalao;;Insensible;Manual;Vigente;Si;;aceite de hígado de bacalao;;126082008;aceite de hígado de bacalao;;;;
4840230;acenocumarol;;Insensible;Manual;Vigente;Si;;acenocumarol;;387457003;acenocumarol;503;acenocumarol;;D
6434407;acetato de betametasona;;Insensible;Manual;Vigente;Si;;acetato de betametasona;;116572001;acetato de betametasona;;;;
4840292;acetato de calcio;;Insensible;Manual;Vigente;Si;;acetato cálcico;"• 6399670 - calcio acetato
• 6384471 - acetato cálcico";387019008;acetato cálcico;;;;
4840414;acetato de sodio;;Insensible;Manual;Vigente;Si;;acetato de sodio;;108951007;acetato de sodio;;;;
7502706;acetato de zinc;;Insensible;Manual;Vigente;;;;;;;;;;
4840556;acetazolamida;;Insensible;Manual;Vigente;Si;;acetazolamida;;372709008;acetazolamida;481;acetazolamida;;C
4840615;acetilcisteína;;Insensible;Manual;Vigente;Si;;acetilcisteína;;387440002;acetilcisteína;1535;acetilcisteína;;
4840898;acetónido de fluocinolona;;Insensible;Manual;Vigente;Si;;acetonida de fluocinolona;;396059004;acetonida de fluocinolona;1046;acetónido de fluocinolona;;C
4841356;aciclovir;;Insensible;Manual;Vigente;Si;;aciclovir;;372729009;aciclovir;4435;aciclovir;;B
4844504;ácido acetilsalicílico;;Insensible;Manual;Vigente;Si;;aspirina;• 6399613 - acetilsalicílico ácido;387458008;aspirina;;;;
4844663;ácido alendrónico;;Insensible;Manual;Vigente;Si;;ácido alendrónico;;391730008;ácido alendrónico;6462;ácido alendrónico;;
4846670;ácido ascórbico;;Insensible;Manual;Vigente;;;ácido ascórbico;• 6391975 - vitamina C;43706004;ácido ascórbico;372;ácido ascórbico;;A
4846744;ácido bórico;;Insensible;Manual;Vigente;No;;ácido bórico;;21611007;ácido bórico;;;;
4847221;ácido cítrico;;Insensible;Manual;Vigente;No;;ácido cítrico;;75399008;ácido cítrico;;;;
4847344;ácido clavulánico;;Insensible;Manual;Vigente;Si;;ácido clavulánico;;395939008;ácido clavulánico;4948;ácido clavulánico;;B
6398327;ácido cromoglícico;;Insensible;Manual;Vigente;Si;;;;;;;;;
4847437;ácido dehidrocólico;;Insensible;Manual;Vigente;Si;;ácido dehidrocólico;;387285003;ácido dehidrocólico;157;ácido dehidrocólico;;
4847639;ácido docosahexaenoico;;Insensible;Manual;Vigente;Si;;ácido docosahexanoico;;226368001;ácido docosahexanoico;;;;
4930258;ácido eicosapentaenoico;;Insensible;Manual;Vigente;Si;;ácido eicosapentanoico;;226367006;ácido eicosapentanoico;;;;
4847883;ácido fólico;;Insensible;Manual;Vigente;Si;;ácido fólico;• 6412313 - vitamina B9;63718003;ácido fólico;68;ácido fólico;;A
4849436;ácido fusídico;;Insensible;Manual;Vigente;Si;;ácido fusídico;;387530003;ácido fusídico;1431;ácido fusídico;;B
7679293;ácido gadotérico;;Insensible;Manual;Vigente;;;;;;;;;;
4849554;ácido gamma amino beta hidroxibutírico;;Insensible;Manual;Vigente;Si;;;;;;;;;
4930292;ácido gamma aminobutírico;;Insensible;Manual;Vigente;Si;;ácido gamma-aminobutírico;;259100002;ácido gamma-aminobutírico;;;;
6399530;ácido glutámico;;Insensible;Manual;Vigente;Si;;ácido glutámico;;85214009;ácido glutámico;66;ácido glutámico;;
4850398;ácido hialurónico;;Insensible;Manual;Vigente;Si;;ácido hialurónico;;38218009;ácido hialurónico;;;;
4850508;ácido ibandrónico;;Insensible;Manual;Vigente;;;ácido ibandrónico;;420936009;ácido ibandrónico;7189;ácido ibandrónico;;C
4850581;ácido láctico;;Insensible;Manual;Vigente;Si;;ácido láctico;;77370004;ácido láctico;;;;
4850677;ácido mefenámico;;Insensible;Manual;Vigente;Si;;ácido mefenámico;;387185008;ácido mefenámico;1494;ácido mefenámico;;C
4850758;ácido micofenólico;;Insensible;Manual;Vigente;Si;;ácido micofenólico;;409330005;ácido micofenólico;2950;ácido micofenólico;;D
4850930;ácido nicotínico;;Insensible;Manual;Vigente;Si;;ácido nicotínico;;273943001;ácido nicotínico;373;ácido nicotínico;;
4930349;ácido pamidrónico;;Insensible;Manual;Vigente;Si;;ácido pamidrónico;;420442001;ácido pamidrónico;6305;ácido pamidrónico;;
4930382;ácido para aminobenzoico;;Insensible;Manual;Vigente;Si;;;• 6399885 - paraaminobenzoico ácido;;;;;;
4852185;ácido pipemídico;;Insensible;Manual;Vigente;Si;;ácido pipemídico;;96079005;ácido pipemídico;3694;ácido pipemídico;;
4854729;ácido risedrónico;;Insensible;Manual;Vigente;Si;;;;;;6522;ácido risedrónico;;
4854760;ácido salicílico;;Insensible;Manual;Vigente;Si;;ácido salicílico;;387253001;ácido salicílico;;;;
4854811;ácido tranexámico;;Insensible;Manual;Vigente;Si;;ácido tranexámico;;386960009;ácido tranexámico;2060;ácido tranexámico;;B
6403019;ácido undecilénico;;Insensible;Manual;Vigente;Si;;ácido undecilénico;;386990002;ácido undecilénico;;;;
4854881;ácido ursodeoxicólico;;Insensible;Manual;Vigente;Si;;ácido ursodesoxicólico;;41143004;ácido ursodesoxicólico;4920;ácido ursodeoxicólico;;B
4854948;ácido valproico;;Insensible;Manual;Vigente;Si;;ácido valproico;;387080000;ácido valproico;3300;ácido valproico;;D
4855042;ácido zoledrónico;;Insensible;Manual;Vigente;Si;;ácido zoledrónico;;395926009;ácido zoledrónico;7254;ácido zoledrónico;;D
4842161;ácido 5 - aminolevulínico;;Insensible;Manual;Vigente;Si;;ácido 5-aminolevulínico;;259496005;ácido 5-aminolevulínico;;;;
4855333;acipimox;;Insensible;Manual;Vigente;Si;;acipimox;;391711008;acipimox;3809;acipimox;;
4855394;acitretina;;Insensible;Manual;Vigente;Si;;acitretina;;386938006;acitretina;5530;acitretina;;X
4855443;adalimumab;;Insensible;Manual;Vigente;Si;;adalimumab;;407317001;adalimumab;7860;adalimumab;;
4855576;adapaleno;;Insensible;Manual;Vigente;Si;;adapaleno;;386934008;adapaleno;6675;adapaleno;;C
4932200;adenosina;;Insensible;Manual;Vigente;Si;;adenosina;;35431001;adenosina;335;fosfato de adenosina;;C
4855653;adifenina;;Insensible;Manual;Vigente;Si;;adifenina;;21394008;adifenina;2715;adifenina;;
7224398;afatinib;;Insensible;Manual;Vigente;;;;;;;;;;D
6397723;aflibercept;;Insensible;Manual;Vigente;Si;;;;;;;;;C
6397729;agalsidasa beta;;Insensible;Manual;Vigente;Si;;;;;;;;;
4855711;agomelatina;;Insensible;Manual;Vigente;;;agomelatina;;698012009;agomelatina;7392;agomelatina;;
4855740;agua bidestilada;;Insensible;Manual;Vigente;;;;;;;;;;
4855893;agua oxigenada;;Insensible;Manual;Vigente;;;agua oxigenada O^15^;;129505000;agua oxigenada O^15^;;;;
4856016;alantoína;;Insensible;Manual;Vigente;;;alantoína;"• 6426297 - 5 - ureidohidantonína
• 6391863 - glioxildiureida";395933009;alantoína;;;;
4856065;albendazol;;Insensible;Manual;Vigente;Si;;albendazol;;387558006;albendazol;3967;albendazol;;C
4856115;albúmina humana;;Insensible;Manual;Vigente;Si;;albúmina;;52454007;albúmina;;;;C
6397731;alcaftadina;;Insensible;Manual;Vigente;Si;;alcaftadina;;447208001;alcaftadina;8707;alcaftadina;;B
4856182;alcanfor;;Insensible;Manual;Vigente;Si;;alcanfor;;111136003;alcanfor;;;;
6397738;alcohol bencílico;;Insensible;Manual;Vigente;Si;;alcohol bencílico;;55902002;alcohol bencílico;923;alcohol bencílico;;
4856627;alfa tocoferol;;Insensible;Manual;Vigente;Si;;alfa - tocoferol;"• 6399618 - alfa tocoferol
• 6412294 - vitamina E";259666007;alfa - tocoferol;;;;
7431203;alfatradiol;;Insensible;Manual;Vigente;;;;;;;;;;
4930387;alfentanilo;;Insensible;Manual;Vigente;Si;;alfentanilo;;387560008;alfentanilo;4818;alfentanilo;;C
4930413;alfuzosina;;Insensible;Manual;Vigente;Si;;alfuzosina;;395954002;alfuzosina;5357;alfuzosina;;B
4930474;alginato de sodio;;Insensible;Manual;Vigente;Si;;alginato de sodio;;75876003;alginato de sodio;;;;
4930505;aliskireno;;Insensible;Manual;Vigente;Si;;aliskireno;• 6399619 - aliskiren;426725002;aliskireno;7992;aliskireno;;D
4930552;alopurinol;;Insensible;Manual;Vigente;Si;;alopurinol;;387135004;alopurinol;1731;alopurinol;;C
4930583;alprazolam;;Insensible;Manual;Vigente;Si;;alprazolam;;386983007;alprazolam;3426;alprazolam;;D
4930599;alprostadil;;Insensible;Manual;Vigente;Si;;alprostadil;• 6426755 - prostaglandina E1;48988008;alprostadil;4425;alprostadil;;
6398230;alquitrán de hulla;;Insensible;Manual;Vigente;Si;;Coal tar;"• 6421226 - coáltar
• 6398231 - COAL TAR";53034005;Coal tar;;;;
6397715;alteplasa;;Insensible;Manual;Vigente;Si;;alteplasa;"• 6415218 - activador tisular del plasminógeno recombinante
• 6397716 - activador del plasminógeno tisular";387152000;alteplasa;5975;alteplasa;;C
4930672;amantadina;;Insensible;Manual;Vigente;Si;;amantadina;;372763006;amantadina;1816;amantadina;;C
7424111;ambrisentán;;Insensible;Manual;Vigente;;;;;428159003;ambrisentán;;;;X
6397799;ambroxol;;Insensible;Manual;Vigente;;;ambroxol;;698024002;ambroxol;3692;ambroxol;;C
4931116;amikacina;;Insensible;Manual;Vigente;Si;;amikacina;;387266001;amikacina;3492;amikacina;;C
4931149;amilorida;;Insensible;Manual;Vigente;Si;;amilorida;;387503008;amilorida;2352;amilorida;;B
4931278;aminofilina;;Insensible;Manual;Vigente;Si;;aminofilina;;373508009;aminofilina;376;aminofilina;;C
6401813;aminolevulinato de metilo;;Insensible;Manual;Vigente;Si;;aminolevulinato de metilo;;409397005;aminolevulinato de metilo;;;;
4931302;amiodarona;;Insensible;Manual;Vigente;Si;;amiodarona;;372821002;amiodarona;2012;amiodarona;;D
4931427;amisulprida;;Insensible;Manual;Vigente;Si;;amisulprida;;391761004;amisulprida;4960;amisulprida;;
4931600;amitriptilina;;Insensible;Manual;Vigente;Si;;amitriptilina;;372726002;amitriptilina;976;amitriptilina;;D
4931639;amlodipino;;Insensible;Manual;Vigente;Si;;amlodipino;• 6397818 - AMLODIPINA;386864001;amlodipino;5729;amlodipino;;C
4931648;amorolfina;;Insensible;Manual;Vigente;Si;;amorolfina;;391769002;amorolfina;5855;amorolfina;;
4931668;amoxicilina;;Insensible;Manual;Vigente;Si;;amoxicilina;;372687004;amoxicilina;3230;amoxicilina;;B
4931725;ampicilina;;Insensible;Manual;Vigente;Si;;ampicilina;;387170002;ampicilina;1339;ampicilina;;B
4931743;anastrozol;;Insensible;Manual;Vigente;Si;;anastrozol;;386910003;anastrozol;7274;anastrozol;;X
4931833;anfetamina;;Insensible;Manual;Vigente;Si;;anfetamina;• 6426753 - 2-amino-1-fenilpropano;703842006;anfetamina;377;anfetamina;;
4930766;anfotericina B;;Sensible;Manual;Vigente;Si;;amfotericina B;• 6384149 - anfotericina B;77703004;amfotericina B;869;amfotericina B;;B
6416979;anfotericina B liposomal;;Insensible;Manual;Vigente;;;anfotericina B liposómica;;412088006;anfotericina B liposómica;;;;B
4932059;anidulafungina;;Insensible;Manual;Vigente;Si;;anidulafungina;;422157006;anidulafungina;7795;anidulafungina;;B
4932104;antazolina;;Insensible;Manual;Vigente;Si;;antazolina;;373544004;antazolina;1142;antazolina;;C
4932156;antitrombina III humana;;Sensible;Manual;Vigente;Si;;antitrombina III humana;;412564003;antitrombina III humana;6368;antitrombina III;;
6397852;apixabán;;Insensible;Manual;Vigente;Si;;apixabán;;698090000;apixabán;8626;apixabán;;B
4932166;apomorfina;;Insensible;Manual;Vigente;Si;;apomorfina;;387375001;apomorfina;;;;C
4932198;aprepitant;;Insensible;Manual;Vigente;Si;;aprepitant;;409205009;aprepitant;8050;aprepitant;;B
4932216;aprotinina bovina;;Insensible;Manual;Vigente;Si;;aprotinina;;386961008;aprotinina;2481;aprotinina;;B
5150842;aripiprazol;;Insensible;Manual;Vigente;Si;;aripiprazol;;406784005;aripiprazol;7477;aripiprazol;;
6397869;armodafinilo;;Insensible;Manual;Vigente;Si;;armodafinilo;;428694009;armodafinilo;;;;
5150847;árnica;;Insensible;Manual;Vigente;Si;;;;;;;;;
7470553;articaína;;Insensible;Manual;Vigente;;;;;;;;;;
6397881;asenapina;;Insensible;Manual;Vigente;Si;;asenapina;;443375003;asenapina;;;;
5150865;atapulgita activada;;Insensible;Manual;Vigente;Si;;atapulgita activada;;17917000;atapulgita activada;;;;
5150900;atazanavir;;Insensible;Manual;Vigente;Si;;atazanavir;;413592000;atazanavir;8181;atazanavir;;
5150905;atenolol;;Insensible;Manual;Vigente;Si;;atenolol;;387506000;atenolol;3801;atenolol;;D
5150913;atomoxetina;;Insensible;Manual;Vigente;Si;;atomoxetina;;407037005;atomoxetina;5354;atomoxetina;;
5150917;atorvastatina;;Insensible;Manual;Vigente;Si;;atorvastatina;;373444002;atorvastatina;7259;atorvastatina;;X
5150923;atosiban;;Insensible;Manual;Vigente;Si;;atosiban;;391792002;atosiban;6392;atosiban;;
5150927;atovacuona;;Insensible;Manual;Vigente;Si;;atovacuona;;386899002;atovacuona;6914;atovacuona;;
5153715;atracurio besilato;;Insensible;Manual;Vigente;Si;;besilato de atracurio;;72752006;besilato de atracurio;4734;besilato de atracurio;;C
5153681;atropa belladona extracto estandarizado;;Insensible;Manual;Vigente;Si;;;;;;;;;
5150938;atropina sulfato;;Insensible;Manual;Vigente;Si;;sulfato de atropina;;74237004;sulfato de atropina;;;;C
6397900;axitinib;;Insensible;Manual;Vigente;Si;;Axitinib;;427882000;Axitinib;;;;
5152862;azacitidina;;Insensible;Manual;Vigente;Si;;azacitidina;;412328000;azacitidina;4520;azacitidina;;D
5152867;azatioprina;;Insensible;Manual;Vigente;Si;;azatioprina;;372574004;azatioprina;1291;azatioprina;;D
5153622;azelastina;;Insensible;Manual;Vigente;Si;;azelastina;;372520005;azelastina;4074;azelastina;;C
5153626;azitromicina;;Insensible;Manual;Vigente;Si;;azitromicina;;387531004;azitromicina;6197;azitromicina;;B
5153633;aztreonam;;Insensible;Manual;Vigente;Si;;aztreonam;;387386004;aztreonam;5159;aztreonam;;B
5153635;azufre;;Insensible;Manual;Vigente;Si;;azufre;;43735007;azufre;;;;
5153641;azul de metileno;;Insensible;Manual;Vigente;Si;;azul de metileno, colorante;• 6424119 - cloruro de metiltioninio;6725000;azul de metileno, colorante;;;;C
5153645;azul patente;;Insensible;Manual;Vigente;Si;;;;;;;;;
5153655;bacitracina;;Insensible;Manual;Vigente;Si;;bacitracina;;5220000;bacitracina;1167;bacitracina;;
5153659;baclofeno;;Insensible;Manual;Vigente;Si;;baclofeno;;387342009;baclofeno;2956;baclofeno;;C
5153663;basiliximab;;Insensible;Manual;Vigente;Si;;basilixmab;;386978004;basilixmab;7578;basiliximab;;B
5153679;beclometasona;;Insensible;Manual;Vigente;Si;;beclometasona;;116574000;beclometasona;2307;beclometasona;;C
6397919;belimumab;;Insensible;Manual;Vigente;Si;;belimumab;;449043000;belimumab;8381;belimumab;;C
7103709;bencilpenicilina benzatina;;Insensible;Manual;Vigente;Si;;;;;;;;;B
5153694;bencilpenicilina sódica;;Insensible;Manual;Vigente;Si;;bencilpenicilina;;387246005;bencilpenicilina;58;bencilpenicilina;;B
5153700;bendamustina;;Insensible;Manual;Vigente;Si;;bendamustina;;428012008;bendamustina;5228;bendamustina;;D
5153702;benserazida;;Insensible;Manual;Vigente;Si;;benserazida;;391821005;benserazida;3026;benserazida;;
5153711;benzocaína;;Insensible;Manual;Vigente;Si;;benzocaína;;387357002;benzocaína;3953;benzocaína;;C
5153725;betahistina;;Insensible;Manual;Vigente;Si;;betahistina;;418067008;betahistina;1502;betahistina;;
6397943;betaína;;Insensible;Manual;Vigente;Si;;betaína;;43356007;betaína;;;;
5153732;betametasona;;Insensible;Manual;Vigente;Si;;betametasona;;116571008;betametasona;1045;betametasona;;C
5153737;betametasona dipropionato;;Insensible;Manual;Vigente;Si;;dipropionato de betametasona;;88736007;dipropionato de betametasona;;;;C
5153754;betametasona fosfato sódico;;Insensible;Manual;Vigente;Si;;fosfato sódico de betametasona;;116573006;fosfato sódico de betametasona;;;;C
7229764;betametasona valerato;;Insensible;Manual;Vigente;;;;;;;;;;
5153757;betaxolol;;Insensible;Manual;Vigente;Si;;betaxolol;;409276006;betaxolol;4530;betaxolol;;C
5153765;bevacizumab;;Insensible;Manual;Vigente;Si;;bevacizumab;;409406007;bevacizumab;8017;bevacizumab;;C
6397949;bexaroteno;;Insensible;Manual;Vigente;Si;;bexaroteno;;387023000;bexaroteno;;;;
5153836;bezafibrato;;Insensible;Manual;Vigente;Si;;bezafibrato;;396025003;bezafibrato;3968;bezafibrato;;
