SUSTANCIA;;;;;;;;;;;;;;;;MEDICAMENTO BÁSICO;;;;;;;;;;;;;;;MEDICAMENTO CLINICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;MEDICAMENTO CLINICO CON ENVASE;;;;;;;;;;;;;;;;;;;;;;;GRUPO FAMILIA DE PRODUCTO;;;;;;;FAMILIA DE PRODUCTO;;;;;;;;;PRODUCTO COMERCIAL;;;;;;;;;;;;;;;;;;;;;;;;;PRODUCTO COMERCIAL CON ENVASE;;;;;;;;;;;;;;;;;;;;
CONCEPTO_ID;DESCRIPCION;TIPO;DESC_ABREVIADA;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;REVISADO;CONSULTAR;OBSERVACION;SINONIMO (ID | DESC);SCT_ID;SCT_TERMINO;DCI_DID;DCI_TERMINO;RIESGO_TERATOGENICO;CONCEPTO_ID;DESCRIPCION;TIPO;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT ID;SCT TERMINO;SINONIMO (id | desc );GRUPOS_JERARQUICOS;ORDEN;SUSTANCIAS (Id| Desc| Ord| Est);CONCEPTO_ID;DESCRIPCION;TIPO;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT ID;SCT TERMINO;SINONIMO;GRUPOS_JERARQUICOS;PRESC_DESC;MEDICAMENTO_BASICO ID;MEDICAMENTO_BASICO_DESC;FRM_FARMA_AGRP_DESC;CONDICION_VENTA_DESC;TIPO_FORMA_AGRP_DESC;UNIDOSIS_LOGISTICA_CANT;UNIDOSIS_LOGISTICA_UNIDAD_DESC;UNIDOSIS_ASISTENCIAL_CANT;UNI_ASISTENCIAL_UNIDAD_DESC;VOLUMEN_TOTAL_CANTIDAD;VOLUMEN_TOTAL_UNIDAD_DESC;ATC_DESCRIPCION_DESC;URL_MEDLINE_PLUS;VIAS_ADMINISTRACION;CONCEPTO_ID;DESCRIPCION;TIPO;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT ID;SCT TERMINO;GRUPOS_JERARQUICOS;MEDICAMENTO_CLINICO_FK;MEDICAMENTO_CLINICO_DESC;TIPO_DESC;CANTIDAD;UNIDAD_MEDIDA_CANTIDAD_DESC;VOLUMEN_TOTAL_CANTIDAD;VOLUMEN_TOTAL_UNIDAD_DESC;PACK_MULTI_CANTIDAD;PACK_MULTI_UNIDAD_DESC;VOLUMEN_TOTAL_CANTIDAD;VOLUMEN_TOTAL_UNIDAD_DESC;CONCEPTO_ID;DESCRIPCION;TIPO;DESC_ABREVIADA;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;CONCEPTO_ID;DESCRIPCION;TIPO;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;GRUPO_FAMILIA_PRODUCTO_FK;GRUPO_FAMILIA_PRODUCTO_DESC;GRUPO_FAMILIA_GENERICA_DESC;CONCEPTO_ID;DESCRIPCION;TIPO;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT ID;SCT TERMINO;SINONIMO;GRUPOS_JERARQUICOS;MEDICAMENTO_CLINICO COD;MEDICAMENTO_CLINICO DESC;TIPO;LABORATORIO_DESC;FORM_FARM_EXT_DESC;SABOR_DESC;FAMILIA_PRODUCTO_DESC;COMERCIALIZADO_CHILE_DESC;PRODUCTO_ISP (REGISTRO);PRODUCTO_ISP (REGISTRO) DESC;BIOEQUIVALENTES (REGISTRO);BIOEQUIVALENTES (REGISTRO) DESC;CONCEPTO_ID;DESCRIPCION;TIPO;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT ID;SCT TERMINO;SINONIMO;GRUPOS_JERARQUICOS;PACK_MULTI_CANTIDAD;PACK_MULTI_UNIDAD_DESC;MED_CLINICO_CON_ENVASE_COD;MED_CLINICO_CON_ENVASE_DESC;PRODUCTO_COMERCIAL_COD;PRODUCTO_COMERCIAL_DESC;EXISTE_EN_GS1_DESC;GTIN_GS1
CENS_4844504;ácido acetilsalicílico;N;;Insensible;Manual;Vigente;NO;;;;NA;NA ;;;;CENS_5408557;ácido acetilsalicílico;;;Vigente;Insensible;Manual;NO;;;;;;1;CENS_4844504|ácido acetilsalicílico|1|Vigente;CENS_ 103322;ácido acetilsalicílico 100 mg comprimido;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_5408557;ácido acetilsalicílico;comprimido;directa;Discreta;1;comprimido;1;miligramo;;;;;;CENS_6907790;ácido acetilsalicílico 100 mg comprimido 10 comprimidos;;;Vigente;Insensible;Manual;NO;;;;;CENS_ 103322;ácido acetilsalicílico 100 mg comprimido;venta público;10;comprimidos;NA;NA;;;;;NA;NA;;NA;NA;NA;NA;CENS_6627429;ácido acetilsalicílico;;Vigente;Sensible;Manual;NA;NA;SI;NUEVO_1;ácido acetilsalicílico 100 mg comprimido (OPKO);;;Vigente;Sensible;Manual;NO;;;;;;CENS_ 103322;ácido acetilsalicílico 100 mg comprimido;;OPKO CHILE S.A.;comprimido;;ácido acetilsalicílico;Si;F-23098/16;ACIDO ACETILSALICILICO COMPRIMIDOS 100 mg;;;NUEVO_1;ácido acetilsalicílico 100 mg comprimido (OPKO) 10 comprimidos;;;Vigente;Sensible;Autogenerado;;;;;;;;;CENS_6907790;ácido acetilsalicílico 100 mg comprimido 10 comprimidos;NUEVO_1;ácido acetilsalicílico 100 mg comprimido (OPKO);No;
CENS_4841356;aciclovir;A;;Insensible;Manual;Vigente;NO;;;;372729009;aciclovir;;;;CENS_5407601;aciclovir;;;Vigente;Insensible;Manual;NO;;;;;;1;CENS_4841356|aciclovir|1|Vigente;CENS_ 162358;aciclovir 400 mg comprimido;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_5407601;aciclovir;comprimido;receta médica;Discreta;1;comprimido;1;miligramo;;;;;;CENS_7094781;aciclovir 400 mg comprimido 35 comprimidos;;;Vigente;Insensible;Manual;NO;;;;;CENS_ 162358;aciclovir 400 mg comprimido;venta público;35;comprimidos;NA;NA;;;;;NA;NA;;NA;NA;NA;NA;CENS_5893763;aciclovir;;Vigente;Sensible;Manual;NA;NA;SI;CENS_6627404;aciclovir 400 mg comprimido (Lab Chile);;;Vigente;Sensible;Manual;NO;;;;;;CENS_ 162358;aciclovir 400 mg comprimido;;Laboratorio Chile S.A.;comprimido;;aciclovir;SI;F-8518/16;ACICLOVIR COMPRIMIDOS 400 mg;;;CENS_7094808;aciclovir 400 mg comprimido (Lab Chile) 35 comprimidos;;;Vigente;Sensible;Autogenerado;;;;;;;;;CENS_7094781;aciclovir 400 mg comprimido 35 comprimidos;CENS_6627404;aciclovir 400 mg comprimido (Lab Chile);No;
CENS_6397799;ambroxol;M;;Insensible;Manual;Vigente;NO;;;;698024002;ambroxol;;;;CENS_6407379;ambroxol;;;Vigente;Insensible;Manual;NO;;;;;;1;CENS_6397799|ambroxol|1|Vigente;CENS_1578971;ambroxol 15 mg/5 mL solución oral;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_6407379;ambroxol;solución oral;directa;Continua;1;frasco;1;mililitro;;;;;;CENS_7293396;ambroxol 15 mg/5 mL solución oral 1 frasco 100 mililitros;;;Vigente;Insensible;Manual;NO;;;;;CENS_1578971;ambroxol 15 mg/5 mL solución oral;venta público;1;frasco;100;mililitros;;;;;NA;NA;;NA;NA;NA;NA;CENS_6651104;ambroxol clorhidrato infantil;;Vigente;Sensible;Manual;NA;NA;SI;NUEVO_2;ambroxol clorhidrato infantil 15 mg/5 mL jarabe (Lab Chile) ;;;Vigente;Sensible;Manual;NO;;;;;;CENS_1578971;ambroxol 15 mg/5 mL solución oral;;Laboratorio Chile S.A.;jarabe;;ambroxol clorhidrato infantil;SI;F-8317/16;AMBROXOL CLORHIDRATO INFANTIL JARABE 15 mg/5 mL;;;NUEVO_2;ambroxol clorhidrato infantil 15 mg/5 mL jarabe (Lab Chile) 1 frasco 100 mililitros;;;Vigente;Sensible;Autogenerado;;;;;;;;;CENS_7293396;ambroxol 15 mg/5 mL solución oral 1 frasco 100 mililitros;NUEVO_2;ambroxol clorhidrato infantil 15 mg/5 mL jarabe (Lab Chile) ;No;
CENS_6397799;ambroxol;N;;Insensible;Manual;Vigente;NO;;;;698024002;ambroxol;;;;CENS_6407379;ambroxol;;;Vigente;Insensible;Manual;NO;;;;;;1;CENS_6397799|ambroxol|1|Vigente;CENS_82068;ambroxol 30 mg/5 mL solución oral;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_6407379;ambroxol;solución oral;directa;Continua;1;frasco;1;mililitro;;;;;;CENS_7293398;ambroxol 30 mg/5 mL solución oral 1 frasco 100 mililitros;;;Vigente;Insensible;Manual;NO;;;;;CENS_82068;ambroxol 30 mg/5 mL solución oral;venta público;1;frasco;100;mililitros;;;;;NA;NA;;NA;NA;NA;NA;CENS_7391890;ambroxol clorhidrato ;;Vigente;Sensible;Manual;NA;NA;SI;NUEVO_3;ambroxol clorhidrato 30 mg/5 mL jarabe (Lab Chile) ;;;Vigente;Sensible;Manual;NO;;;;;;CENS_82068;ambroxol 30 mg/5 mL solución oral;;Laboratorio Chile S.A.;jarabe;;ambroxol clorhidrato ;SI;F-8318/16;AMBROXOL CLORHIDRATO ADULTO JARABE 30 mg/5 mL;;;NUEVO_3;ambroxol clorhidrato 30 mg/5 mL jarabe (Lab Chile) 1 frasco 100 mililitros;;;Vigente;Sensible;Autogenerado;;;;;;;;;CENS_7293398;ambroxol 30 mg/5 mL solución oral 1 frasco 100 mililitros;NUEVO_3;ambroxol clorhidrato 30 mg/5 mL jarabe (Lab Chile) ;No;
CENS_4931116;amikacina;A;;Insensible;Manual;Vigente;NO;;;;387266001;amikacina;;;;CENS_5500711;amikacina;;;Vigente;Insensible;Manual;NO;;;;;;1;CENS_4931116|amikacina|1|Vigente;CENS_136853;amikacina 500 mg/2 mL (250 mg/mL) inyectable;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_5500711;amikacina;inyectable;receta médica retenida;Continua;1;ampolla;1;miligramo;;;;;;NUEVO_4;amikacina 500 mg/2 mL (250 mg/mL) inyectable 1 ampolla 2 mililitros;;;Vigente;Insensible;Manual;NO;;;;;CENS_136853;amikacina 500 mg/2 mL (250 mg/mL) inyectable;fraccionado unidosis;1;ampolla;2;mililitros;;;;;NA;NA;;NA;NA;NA;NA;CENS_7017843;amikacina;;Vigente;Sensible;Manual;NA;NA;SI;NUEVO_4;amikacina 500 mg/2 mL solución inyectable (Lab Chile);;;Vigente;Sensible;Manual;NO;;;;;;CENS_136853;amikacina 500 mg/2 mL (250 mg/mL) inyectable;;Laboratorio Chile S.A.;solución inyectable;;amikacina;SI;F-3868/15;AMIKACINA SOLUCIÓN INYECTABLE 500 mg/2 mL;;;NUEVO_4;amikacina 500 mg/2 mL solución inyectable (Lab Chile) 1 ampolla 2 mililitros;;;Vigente;Sensible;Autogenerado;;;;;;;;;NUEVO_4;amikacina 500 mg/2 mL (250 mg/mL) inyectable 1 ampolla 2 mililitros;NUEVO_4;amikacina 500 mg/2 mL solución inyectable (Lab Chile);No;
CENS_4931668;amoxicilina;A;;Insensible;Manual;Vigente;NO;;;;372687004;amoxicilina;;;;CENS_5503309;amoxicilina - ácido clavulánico;;;Vigente;Insensible;Manual;NO;;;;;;1;CENS_4931668|amoxicilina|1|Vigente;CENS_108546;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_5503309;amoxicilina - ácido clavulánico;comprimido;receta médica;Discreta;1;comprimido;1;comprimido;;;;;;CENS_7164623;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;;;Vigente;Insensible;Manual;NO;;;;;CENS_108546;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;venta público;20;comprimidos;NA;NA;;;;;NA;NA;;NA;NA;NA;NA;CENS_6496116;amoxicilina - ácido clavulánico;;Vigente;Sensible;Manual;NA;NA;SI;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma);;;Vigente;Sensible;Manual;NO;;;;;;CENS_108546;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;;Laboratorio Hospifarma;comprimido recubierto;;amoxicilina - ácido clavulánico;SI;F-22907/16;AMOXICILINA / ÁCIDO CLAVULÁNICO 875/125 COMPRIMIDOS RECUBIERTOS;;;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma) 20 comprimidos;;;Vigente;Sensible;Autogenerado;;;;;;;;;CENS_7164623;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma);No;
CENS_4847344;ácido clavulánico;A;;Insensible;Manual;Vigente;NO;;;;395939008;ácido clavulánico;;;;CENS_5503309;amoxicilina - ácido clavulánico;;;Vigente;Insensible;Manual;NO;;;;;;2;CENS_4847344|ácido clavulánico|2|Vigente;CENS_108546;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_5503309;amoxicilina - ácido clavulánico;comprimido;receta médica;Discreta;1;comprimido;1;comprimido;;;;;;CENS_7164623;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;;;Vigente;Insensible;Manual;NO;;;;;CENS_108546;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;venta público;20;comprimidos;NA;NA;;;;;NA;NA;;NA;NA;NA;NA;CENS_6496116;amoxicilina - ácido clavulánico;;Vigente;Sensible;Manual;NA;NA;SI;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma);;;Vigente;Sensible;Manual;NO;;;;;;CENS_108546;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;;Laboratorio Hospifarma;comprimido recubierto;;amoxicilina - ácido clavulánico;SI;F-22907/16;AMOXICILINA / ÁCIDO CLAVULÁNICO 875/125 COMPRIMIDOS RECUBIERTOS;;;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma) 20 comprimidos;;;Vigente;Sensible;Autogenerado;;;;;;;;;CENS_7164623;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma);No;
CENS_4931668;amoxicilina;M;;Insensible;Manual;Vigente;NO;;;;372687004;amoxicilina;;;;CENS_5501095;amoxicilina;;;Vigente;Insensible;Manual;NO;;;;;;1;CENS_4931668|amoxicilina|1|Vigente;CENS_101167;amoxicilina 250 mg/5 mL polvo para preparado oral;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_5501095;amoxicilina;polvo para preparado oral;receta médica;Continua;1;frasco;1;mililitro;;;;;;CENS_7103416;amoxicilina 250 mg/5 mL polvo para preparado oral 1 frasco 60 mililitros;;;Vigente;Insensible;Manual;NO;;;;;CENS_101167;amoxicilina 250 mg/5 mL polvo para preparado oral;venta público;1;frasco;60;mililitros;;;;;NA;NA;;NA;NA;NA;NA;CENS_6633714;amoxicilina;;Vigente;Sensible;Manual;NA;NA;SI;NUEVO_6;amoxicilina 250 mg/5 mL polvo para suspensión oral (OPKO);;;Vigente;Sensible;Manual;NO;;;;;;CENS_101167;amoxicilina 250 mg/5 mL polvo para preparado oral;;OPKO CHILE S.A.;polvo para suspensión oral;;amoxicilina;SI;F-17236/13;AMOXICILINA POLVO PARA SUSPENSIÓN ORAL 250 mg/5 mL;;;NUEVO_6;amoxicilina 250 mg/5 mL polvo para suspensión oral (OPKO) 1 frasco 60 mililitros;;;Vigente;Sensible;Autogenerado;;;;;;;;;CENS_7103416;amoxicilina 250 mg/5 mL polvo para preparado oral 1 frasco 60 mililitros;NUEVO_6;amoxicilina 250 mg/5 mL polvo para suspensión oral (OPKO);No;
CENS_4931668;amoxicilina;N;;Insensible;Manual;Vigente;NO;;;;372687004;amoxicilina;;;;CENS_5503309;amoxicilina - ácido clavulánico;;;Vigente;Insensible;Manual;NO;;;;;;1;CENS_4931668|amoxicilina|1|Vigente;CENS_439446;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_5503309;amoxicilina - ácido clavulánico;comprimido;receta médica;Discreta;1;comprimido;1;comprimido;;;;;;CENS_7097886;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;;;Vigente;Insensible;Manual;NO;;;;;CENS_439446;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido;venta público;20;comprimidos;NA;NA;;;;;NA;NA;;NA;NA;NA;NA;CENS_6496116;amoxicilina - ácido clavulánico;;Vigente;Sensible;Manual;NA;NA;SI;CENS_7097911;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido recubierto (OPKO);;;Vigente;Sensible;Manual;NO;;;;;;CENS_439446;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido;;OPKO CHILE S.A.;comprimido recubierto;;amoxicilina - ácido clavulánico;SI;F-23293/17;AMOXICILINA / ACIDO CLAVULANICO 500 /125 mg COMPRIMIDOS RECUBIERTOS;;;CENS_7097922;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido recubierto (OPKO) 20 comprimidos;;;Vigente;Sensible;Autogenerado;;;;;;;;;CENS_7097886;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;CENS_7097911;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido recubierto (OPKO);No;
CENS_4847344;ácido clavulánico;A;;Insensible;Manual;Vigente;NO;;;;395939008;ácido clavulánico;;;;CENS_5503309;amoxicilina - ácido clavulánico;;;Vigente;Insensible;Manual;NO;;;;;;2;CENS_4847344|ácido clavulánico|2|Vigente;CENS_439446;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido;;;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;CENS_5503309;amoxicilina - ácido clavulánico;comprimido;receta médica;Discreta;1;comprimido;1;comprimido;;;;;;CENS_7097886;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;;;Vigente;Insensible;Manual;NO;;;;;CENS_439446;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido;venta público;20;comprimidos;NA;NA;;;;;NA;NA;;NA;NA;NA;NA;CENS_6496116;amoxicilina - ácido clavulánico;;Vigente;Sensible;Manual;NA;NA;SI;CENS_7097911;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido recubierto (OPKO);;;Vigente;Sensible;Manual;NO;;;;;;CENS_439446;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido;;OPKO CHILE S.A.;comprimido recubierto;;amoxicilina - ácido clavulánico;SI;F-23293/17;AMOXICILINA / ACIDO CLAVULANICO 500 /125 mg COMPRIMIDOS RECUBIERTOS;;;CENS_7097922;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido recubierto (OPKO) 20 comprimidos;;;Vigente;Sensible;Autogenerado;;;;;;;;;CENS_7097886;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;CENS_7097911;amoxicilina 500 mg - ácido clavulánico 125 mg comprimido recubierto (OPKO);No;
