SUSTANCIA;;;;;;;;;;;;;;;;;MEDICAMENTO BÁSICO;;;;;;;;;;;;;;MEDICAMENTO CLINICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MEDICAMENTO CLINICO CON ENVASE;;;;;;;;;;;;;;;;;;;;;;GRUPO FAMILIA DE PRODUCTO;;;;;;;;;;;;;;FAMILIA DE PRODUCTO;;;;;;;;;;;;;;;;PRODUCTO COMERCIAL;;;;;;;;;;;;;;;;;;;;;;PRODUCTO COMERCIAL CON ENVASE;;;;;;;;;;;;;;;;;;;;
CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;TIPO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;REVISADO;CONSULTAR;OBSERVACION;SINONIMO (ID | DESC);SCT_ID;SCT_TERMINO;DCI_DID;GRUPOS_JERARQUICOS;DCI_TERMINO;RIESGO_TERATOGENICO;CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;TIPO;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO (id | desc );GRUPOS_JERARQUICOS;SUSTANCIAS (Id| Desc| Ord| Est);CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;TIPO;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;PRESC_DESC;MEDICAMENTO_BASICO_ID;MEDICAMENTO_BASICO_DESC;FRM_FARMA_AGRP_DESC;CONDICION_VENTA_DESC;TIPO_FORMA_AGRP_DESC;UNIDOSIS_LOGISTICA_CANT;UNIDOSIS_LOGISTICA_UNIDAD_DESC;UNIDOSIS_ASISTENCIAL_CANT;UNI_ASISTENCIAL_UNIDAD_DESC;VOLUMEN_TOTAL_CANTIDAD;VOLUMEN_TOTAL_UNIDAD_DESC;ATC_DESCRIPCION_DESC;URL_MEDLINE_PLUS;VIAS_ADMINISTRACION;MC_SUST SUST_id|SUST_desc|Potencia|UNID POT|PARTIDO POR|UNIDAD|ORD|EST;CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;TIPO;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;MEDICAMENTO_CLINICO_FK;MEDICAMENTO_CLINICO_DESC;TIPO_DESC;CANTIDAD;UNIDAD_MEDIDA_CANTIDAD_DESC;VOLUMEN_TOTAL_CANTIDAD;VOLUMEN_TOTAL_UNIDAD_DESC;PACK_MULTI_CANTIDAD;PACK_MULTI_UNIDAD_DESC;CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;TIPO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;REVISADO;CONSULTAR;OBSERVACION;SINONIMO;SCT_ID;SCT_TERMINO;GRUPOS_JERARQUICOS;CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;TIPO;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;GRUPO_FAMILIA_PRODUCTO_FK;GRUPO_FAMILIA_PRODUCTO_DESC;GRUPO_FAMILIA_GENERICA_DESC;CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;TIPO;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;MEDICAMENTO_CLINICO_COD;MEDICAMENTO_CLINICO_DESC;LABORATORIO_DESC;FORM_FARM_EXT_DESC;SABOR_DESC;FAMILIA_PRODUCTO_DESC;COMERCIALIZADO_CHILE_DESC;PRODUCTO_ISP (REGISTRO);BIOEQUIVALENTES (REGISTRO);CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;TIPO;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;PACK_MULTI_CANTIDAD;PACK_MULTI_UNIDAD_DESC;MED_CLINICO_CON_ENVASE_COD;MED_CLINICO_CON_ENVASE_DESC;PRODUCTO_COMERCIAL_COD;PRODUCTO_COMERCIAL_DESC;EXISTE_EN_GS1_DESC;GTIN_GS1
647531000167102;amoxicilina;;M;Insensible;Manual;Vigente;NO;;;;372687004;amoxicilina;;;;;660571000167109;amoxicilina - ácido clavulánico;;M;Vigente;Insensible;Manual;NO;;;;;;;948191000167105;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;660571000167109;amoxicilina - ácido clavulánico;comprimido;receta médica;Discreta;1;comprimido;1;comprimido;;;;;;;948341000167104;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;;M;Vigente;Insensible;Manual;NO;;;;;;948191000167105;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;venta público;20;comprimidos;NA;NA;;;NA;NA;NA;M;NA;NA;NA;;;;;;;;807181000167109;amoxicilina - ácido clavulánico;;M;Vigente;Sensible;Manual;;;;;;;NA;NA;SI;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma);;N;Vigente;Sensible;Manual;NO;;;;;;948191000167105;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;Laboratorio Hospifarma;comprimido recubierto;;amoxicilina - ácido clavulánico;SI;F-22907/16;;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma) 20 comprimidos;;N;Vigente;Sensible;Autogenerado;;;;;;;;;948341000167104;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma);No;
656961000167100;ácido clavulánico;;M;Insensible;Manual;Vigente;NO;;;;395939008;ácido clavulánico;;;;;660571000167109;amoxicilina - ácido clavulánico;;M;Vigente;Insensible;Manual;NO;;;;;;;948191000167105;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;660571000167109;amoxicilina - ácido clavulánico;comprimido;receta médica;Discreta;1;comprimido;1;comprimido;;;;;;;948341000167104;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;;M;Vigente;Insensible;Manual;NO;;;;;;948191000167105;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;venta público;20;comprimidos;NA;NA;;;NA;NA;NA;M;NA;NA;NA;;;;;;;;807181000167109;amoxicilina - ácido clavulánico;;M;Vigente;Sensible;Manual;;;;;;;NA;NA;SI;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma);;N;Vigente;Sensible;Manual;NO;;;;;;948191000167105;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido;Laboratorio Hospifarma;comprimido recubierto;;amoxicilina - ácido clavulánico;SI;F-22907/16;;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma) 20 comprimidos;;N;Vigente;Sensible;Autogenerado;;;;;;;;;948341000167104;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido 20 comprimidos;NUEVO_5;amoxicilina 875 mg - ácido clavulánico 125 mg comprimido recubierto (Hospifarma);No;
647531000167102;amoxicilina;;M;Insensible;Manual;Vigente;NO;;;;372687004;amoxicilina;;;;;660291000167106;amoxicilina;;M;Vigente;Insensible;Manual;NO;;;;;;;690961000167108;amoxicilina 250 mg/5 mL polvo para preparado oral;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;660291000167106;amoxicilina;polvo para preparado oral;receta médica;Continua;1;frasco;1;mililitro;;;;;;;704861000167101;amoxicilina 250 mg/5 mL polvo para preparado oral 1 frasco 60 mililitros;;M;Vigente;Insensible;Manual;NO;;;;;;690961000167108;amoxicilina 250 mg/5 mL polvo para preparado oral;venta público;1;frasco;60;mililitros;;;NA;NA;NA;M;NA;NA;NA;;;;;;;;799021000167104;amoxicilina;;M;Vigente;Sensible;Manual;;;;;;;NA;NA;SI;NUEVO_6;amoxicilina 250 mg/5 mL polvo para suspensión oral (OPKO);;N;Vigente;Sensible;Manual;NO;;;;;;690961000167108;amoxicilina 250 mg/5 mL polvo para preparado oral;OPKO CHILE S.A.;polvo para suspensión oral;;amoxicilina;SI;F-17236/13;;NUEVO_6;amoxicilina 250 mg/5 mL polvo para suspensión oral (OPKO) 1 frasco 60 mililitros;;N;Vigente;Sensible;Autogenerado;;;;;;;;;704861000167101;amoxicilina 250 mg/5 mL polvo para preparado oral 1 frasco 60 mililitros;NUEVO_6;amoxicilina 250 mg/5 mL polvo para suspensión oral (OPKO);No;
652041000167104;ácido acetilsalicílico;;M;Insensible;Manual;Vigente;NO;;;;NA;NA ;;;;;670871000167100;ácido acetilsalicílico + cafeína;;M;Vigente;Insensible;Manual;NO;;;;;;;677091000167109;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;670871000167100;ácido acetilsalicílico + cafeína;comprimido;directa;Discreta;1;comprimido;1;comprimido;;;;;;;NUEVO_2;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido 2 comprimidos;;N;Vigente;Insensible;Manual;NO;;;;;;677091000167109;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido;venta público;2;comprimidos;NA;NA;;;749071000167106;anacin;anacin;M;Sensible;Manual;Vigente;;;;;;;;776161000167106;anacin;;M;Vigente;Sensible;Manual;;;;;;;749071000167106;anacin;NO;811581000167109;anacin comprimido recubierto (Wyeth);;M;Vigente;Sensible;Manual;NO;;;;;;677091000167109;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido;Laboratorios Wyeth Inc.;comprimido recubierto;;anacin;SI;F-22937/16;;NUEVO_7;anacin comprimido recubierto (Wyeth) 2 comprimidos;;N;Vigente;Sensible;Autogenerado;;;;;;;;;NUEVO_2;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido 2 comprimidos;811581000167109;anacin comprimido recubierto (Wyeth);No;
654521000167108;cafeína;;M;Insensible;Manual;Vigente;NO;;;;255641001;cafeína;;;;;670871000167100;ácido acetilsalicílico + cafeína;;M;Vigente;Insensible;Manual;NO;;;;;;;677091000167109;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;670871000167100;ácido acetilsalicílico + cafeína;comprimido;directa;Discreta;1;comprimido;1;comprimido;;;;;;;NUEVO_2;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido 2 comprimidos;;N;Vigente;Insensible;Manual;NO;;;;;;677091000167109;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido;venta público;2;comprimidos;NA;NA;;;749071000167106;anacin;anacin;M;Sensible;Manual;Vigente;;;;;;;;776161000167106;anacin;;M;Vigente;Sensible;Manual;;;;;;;749071000167106;anacin;NO;811581000167109;anacin comprimido recubierto (Wyeth);;M;Vigente;Sensible;Manual;NO;;;;;;677091000167109;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido;Laboratorios Wyeth Inc.;comprimido recubierto;;anacin;SI;F-22937/16;;NUEVO_7;anacin comprimido recubierto (Wyeth) 2 comprimidos;;N;Vigente;Sensible;Autogenerado;;;;;;;;;NUEVO_2;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido 2 comprimidos;811581000167109;anacin comprimido recubierto (Wyeth);No;
651641000167100;bacitracina;;M;Insensible;Manual;Vigente;NO;;;;5220000;bacitracina;;;;;661671000167103;bacitracina + neomicina;;M;Vigente;Insensible;Manual;NO;;;;;;;698861000167100;bacitracina 500 UI/g + neomicina 5 mg/g ungüento;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;661671000167103;bacitracina + neomicina;ungüento;receta médica;Discreta;1;pomo;1;aplicación;;;;;;;719521000167109;bacitracina 500 UI/g + neomicina 5 mg/g ungüento 1 pomo 15 gramos;;M;Vigente;Insensible;Manual;NO;;;;;;698861000167100;bacitracina 500 UI/g + neomicina 5 mg/g ungüento;venta público;1;pomo;15;gramos;;;NA;NA;NA;M;NA;NA;NA;;;;;;;;783001000167105;bacitracina + neomicina;;M;Vigente;Sensible;Manual;;;;;;;NA;NA;SI;NUEVO_10;bacitracina 500 UI/g + neomicina 5 mg/g ungüento dérmico (Medipharm);;N;Vigente;Sensible;Manual;NO;;;;;;698861000167100;bacitracina 500 UI/g + neomicina 5 mg/g ungüento;Productos Farmacéuticos Medipharm Ltda.;ungüento dérmico;;bacitracina + neomicina;SI;B-1266/16;;NUEVO_12;bacitracina 500 UI/g + neomicina 5 mg/g ungüento dérmico (Medipharm) 1 pomo 15 gramos;;N;Vigente;Sensible;Autogenerado;;;;;;;;;719521000167109;bacitracina 500 UI/g + neomicina 5 mg/g ungüento 1 pomo 15 gramos;NUEVO_10;bacitracina 500 UI/g + neomicina 5 mg/g ungüento dérmico (Medipharm);No;
653301000167106;neomicina;;M;Insensible;Manual;Vigente;NO;;;;373528008;neomicina;;;;;661671000167103;bacitracina + neomicina;;M;Vigente;Insensible;Manual;NO;;;;;;;698861000167100;bacitracina 500 UI/g + neomicina 5 mg/g ungüento;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;661671000167103;bacitracina + neomicina;ungüento;receta médica;Discreta;1;pomo;1;aplicación;;;;;;;719521000167109;bacitracina 500 UI/g + neomicina 5 mg/g ungüento 1 pomo 15 gramos;;M;Vigente;Insensible;Manual;NO;;;;;;698861000167100;bacitracina 500 UI/g + neomicina 5 mg/g ungüento;venta público;1;pomo;15;gramos;;;NA;NA;NA;M;NA;NA;NA;;;;;;;;783001000167105;bacitracina + neomicina;;M;Vigente;Sensible;Manual;;;;;;;NA;NA;SI;NUEVO_10;bacitracina 500 UI/g + neomicina 5 mg/g ungüento dérmico (Medipharm);;N;Vigente;Sensible;Manual;NO;;;;;;698861000167100;bacitracina 500 UI/g + neomicina 5 mg/g ungüento;Productos Farmacéuticos Medipharm Ltda.;ungüento dérmico;;bacitracina + neomicina;SI;B-1266/16;;NUEVO_12;bacitracina 500 UI/g + neomicina 5 mg/g ungüento dérmico (Medipharm) 1 pomo 15 gramos;;N;Vigente;Sensible;Autogenerado;;;;;;;;;719521000167109;bacitracina 500 UI/g + neomicina 5 mg/g ungüento 1 pomo 15 gramos;NUEVO_10;bacitracina 500 UI/g + neomicina 5 mg/g ungüento dérmico (Medipharm);No;
654521000167108;cafeína;;M;Insensible;Manual;Vigente;NO;;;;255641001;cafeína;;;;;667551000167102;cafeína + clorfenamina + ergotamina + metamizol sódico;;M;Vigente;Insensible;Manual;NO;;;;;;;679781000167102;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;667551000167102;cafeína + clorfenamina + ergotamina + metamizol sódico;comprimido;receta médica;Discreta;1;comprimido;1;comprimido;;;;;;;738541000167104;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido 10 comprimidos;;M;Vigente;Insensible;Manual;NO;;;;;;679781000167102;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido;venta público;10;comprimidos;NA;NA;;;NUEVO_3;cinabel;cinabel;N;Sensible;Manual;Vigente;;;;;;;;NUEVO_3;cinabel;;N;Vigente;Sensible;Manual;;;;;;;NUEVO_3;cinabel;NO;NUEVO_16;cinabel comprimido recubierto (Andrómaco);;N;Vigente;Sensible;Manual;NO;;;;;;679781000167102;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido;Laboratorios Andrómaco S.A.;comprimido recubierto;;cinabel;SI;F-11220/16;;NUEVO_18;cinabel comprimido recubierto (Andrómaco) 10 comprimidos;;N;Vigente;Sensible;Autogenerado;;;;;;;;;738541000167104;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido 10 comprimidos;NUEVO_16;cinabel comprimido recubierto (Andrómaco);No;
657761000167104;clorfenamina;;M;Insensible;Manual;Vigente;NO;;;;372914003;clorfeniramina;;;;;667551000167102;cafeína + clorfenamina + ergotamina + metamizol sódico;;M;Vigente;Insensible;Manual;NO;;;;;;;679781000167102;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;667551000167102;cafeína + clorfenamina + ergotamina + metamizol sódico;comprimido;receta médica;Discreta;1;comprimido;1;comprimido;;;;;;;738541000167104;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido 10 comprimidos;;M;Vigente;Insensible;Manual;NO;;;;;;679781000167102;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido;venta público;10;comprimidos;NA;NA;;;NUEVO_3;cinabel;cinabel;N;Sensible;Manual;Vigente;;;;;;;;NUEVO_3;cinabel;;N;Vigente;Sensible;Manual;;;;;;;NUEVO_3;cinabel;NO;NUEVO_16;cinabel comprimido recubierto (Andrómaco);;N;Vigente;Sensible;Manual;NO;;;;;;679781000167102;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido;Laboratorios Andrómaco S.A.;comprimido recubierto;;cinabel;SI;F-11220/16;;NUEVO_18;cinabel comprimido recubierto (Andrómaco) 10 comprimidos;;N;Vigente;Sensible;Autogenerado;;;;;;;;;738541000167104;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido 10 comprimidos;NUEVO_16;cinabel comprimido recubierto (Andrómaco);No;
653591000167109;ergotamina;;M;Insensible;Manual;Vigente;NO;;;;395975005;ergotamina;;;;;667551000167102;cafeína + clorfenamina + ergotamina + metamizol sódico;;M;Vigente;Insensible;Manual;NO;;;;;;;679781000167102;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido;;M;Vigente;Sensible;Manual;NO;;;;;;válido como MC prescribible;667551000167102;cafeína + clorfenamina + ergotamina + metamizol sódico;comprimido;receta médica;Discreta;1;comprimido;1;comprimido;;;;;;;738541000167104;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido 10 comprimidos;;M;Vigente;Insensible;Manual;NO;;;;;;679781000167102;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido;venta público;10;comprimidos;NA;NA;;;NUEVO_3;cinabel;cinabel;N;Sensible;Manual;Vigente;;;;;;;;NUEVO_3;cinabel;;N;Vigente;Sensible;Manual;;;;;;;NUEVO_3;cinabel;NO;NUEVO_16;cinabel comprimido recubierto (Andrómaco);;N;Vigente;Sensible;Manual;NO;;;;;;679781000167102;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido;Laboratorios Andrómaco S.A.;comprimido recubierto;;cinabel;SI;F-11220/16;;NUEVO_18;cinabel comprimido recubierto (Andrómaco) 10 comprimidos;;N;Vigente;Sensible;Autogenerado;;;;;;;;;738541000167104;cafeína 100 mg + clorfenamina 1 mg + ergotamina 1 mg + metamizol sódico 300 mg comprimido 10 comprimidos;NUEVO_16;cinabel comprimido recubierto (Andrómaco);No;
